uid,Formula,alpha_R,E_pfrac_VBM,E_pfrac_CBM,radius_mean,max_mass,max_Z
3e1923c616ad,TiHf3Se8,1.256,0.7987767433307077,0.1594418578290933,1.3666666666666665,178.49,72
3fb52099b370,MoCr3S8,1.221,0.1542812240567189,0.1108407663341692,1.2833333333333332,95.94,42
40034665f9f1,BiIS,1.254,0.946845373751356,0.9381116900544376,1.3333333333333333,208.9804,83
433f707c632c,BiISe,1.255,0.937149742562862,0.9338553284954838,1.3833333333333335,208.9804,83
449640ec4d30,Mo2W2S8,1.954,0.2072633880549644,0.2146805678678273,1.2666666666666666,183.84,74
49b7be14f786,BiBrS,1.293,0.8440266668986302,0.9145043455561068,1.25,208.9804,83
4c49d27e66e5,ISSb,0.907,0.9067714092588202,0.9212175840416548,1.2833333333333334,126.90447,53
4cb4ea247ef4,Ga2P2Te6,3.828,0.7732005190484386,0.6736048722630876,1.2333333333333332,127.6,52
4da5c6be60db,BrSSb,2.39,0.7806803560540508,0.8606994436980863,1.2,121.76,51
4f1ab08988cc,TiZr3Te8,1.679,0.6849715466889554,0.1347440193725061,1.45,127.6,52
4fd8ad708fb0,AsClTe,2.895,0.8748022705579596,0.850388063665775,1.1833333333333331,127.6,52
52a5e2b280d4,ZrTi3Se8,1.091,0.7405566209593908,0.1154653629793862,1.3666666666666665,91.224,40
548aa830244c,Cr2W2Se8,1.39,0.1687729940064901,0.1398028194256778,1.3,183.84,74
5974b6403c31,Cr2W2S8,1.592,0.1681267075821846,0.157123881369535,1.25,183.84,74
5b94060698bc,ISSb,2.844,0.8378311435722494,0.881194264676874,1.2833333333333334,126.90447,53
5c3fe56a1a89,MoW3Te8,2.045,0.2850819868146655,0.1412364257262718,1.3999999999999997,183.84,74
5d1a32a28ffa,P2Sb2Se6,2.546,0.8096352520917903,0.8238161694562693,1.2,121.76,51
5d829e480507,AsISe,1.626,0.8922939066570377,0.8797309545139917,1.2333333333333332,126.90447,53
5e4ff1f56b4a,PbS,1.241,0.8989011752508484,0.774841563510968,1.4,207.2,82
