model,best_params,KF_Acc,KF_Prec,KF_Rec,KF_F1,KF_AUC,LOO_Acc,LOO_Prec,LOO_Rec,LOO_F1,LOO_AUC,csv,threshold,n_features,n_pos,n_neg
SVM_RBF,"{'clf__C': 100.0, 'clf__class_weight': None, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8282828282828283,0.8522727272727273,0.9493670886075949,0.8982035928143712,0.6645569620253164,0.8282828282828283,0.8444444444444444,0.9620253164556962,0.8994082840236687,0.6968354430379746,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
SVM_RBF,"{'clf__C': 100.0, 'clf__class_weight': None, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8383838383838383,0.8539325842696629,0.9620253164556962,0.9047619047619048,0.6677215189873418,0.8282828282828283,0.8444444444444444,0.9620253164556962,0.8994082840236687,0.6816455696202531,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
DecisionTree,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__min_samples_split': 2}",0.8585858585858586,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.7806962025316455,0.8383838383838383,0.8987341772151899,0.8987341772151899,0.8987341772151899,0.7493670886075949,best_combo_0_w10_radius_mean,1.0,3,79,20
DecisionTree,"{'clf__class_weight': 'balanced', 'clf__max_depth': 7, 'clf__min_samples_split': 2}",0.8585858585858586,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.7848101265822784,0.8383838383838383,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.7844936708860759,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
DecisionTree,"{'clf__class_weight': 'balanced', 'clf__max_depth': 7, 'clf__min_samples_split': 2}",0.8585858585858586,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.7848101265822784,0.8383838383838383,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.7844936708860759,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
DecisionTree,"{'clf__class_weight': 'balanced', 'clf__max_depth': 7, 'clf__min_samples_split': 2}",0.8585858585858586,0.9113924050632911,0.9113924050632911,0.9113924050632911,0.7848101265822784,0.8383838383838383,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.7844936708860759,best_combo_1_w10_radius_mean_max_mass_max_Z,1.0,5,79,20
SVM_RBF,"{'clf__C': 10.0, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8383838383838383,0.8539325842696629,0.9620253164556962,0.9047619047619048,0.7822784810126583,0.8181818181818182,0.8351648351648352,0.9620253164556962,0.8941176470588236,0.8259493670886076,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
SVM_RBF,"{'clf__C': 100.0, 'clf__class_weight': None, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'}",0.8585858585858586,0.8651685393258427,0.9746835443037974,0.9166666666666666,0.7727848101265824,0.8181818181818182,0.8505747126436781,0.9367088607594937,0.891566265060241,0.7968354430379746,best_combo_0_w10_radius_mean,1.0,3,79,20
DecisionTree,"{'clf__class_weight': 'balanced', 'clf__max_depth': 7, 'clf__min_samples_split': 2}",0.8686868686868687,0.9125,0.9240506329113924,0.9182389937106918,0.7911392405063291,0.8282828282828283,0.9078947368421053,0.8734177215189873,0.8903225806451613,0.7781645569620252,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.8181818181818182,0.8210526315789474,0.9873417721518988,0.896551724137931,0.6598101265822784,0.8080808080808081,0.8191489361702128,0.9746835443037974,0.8901734104046243,0.6126582278481013,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
GradientBoosting,"{'clf__learning_rate': 0.2, 'clf__max_depth': 5, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8686868686868687,0.8970588235294118,0.9104477611940298,0.9037037037037037,0.8402518656716418,0.8484848484848485,0.8823529411764706,0.8955223880597015,0.8888888888888888,0.8722014925373134,best_combo_0_w10_radius_mean,1.25,3,67,32
LogisticRegression,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.5025316455696203,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.31708860759493673,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
LogisticRegression,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.5025316455696203,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.31518987341772153,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
SVM_Linear,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__kernel': 'linear'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.669620253164557,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.2803797468354431,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.0,5,79,20
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 9, 'clf__weights': 'uniform'}",0.8181818181818182,0.8144329896907216,1.0,0.8977272727272727,0.7174050632911392,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.6357594936708861,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
SVM_Linear,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__kernel': 'linear'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.6373417721518988,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.36265822784810126,best_combo_5_w10_radius_mean_radius_diff,1.0,4,79,20
LogisticRegression,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.5025316455696203,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.3012658227848101,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
SVM_Linear,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__kernel': 'linear'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.4468354430379747,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.3651898734177215,best_combo_0_w10_radius_mean,1.0,3,79,20
LogisticRegression,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.5025316455696203,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.27974683544303797,best_combo_0_w10_radius_mean,1.0,3,79,20
SVM_Linear,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__kernel': 'linear'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.4132911392405063,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.3740506329113924,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
SVM_Linear,"{'clf__C': 0.01, 'clf__class_weight': None, 'clf__kernel': 'linear'}",0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.5556962025316455,0.797979797979798,0.797979797979798,1.0,0.8876404494382022,0.4835443037974684,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.0,5,79,20
