Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
BrSbSe,c2a344b393f0,P3m1 (156),0.124,1.467,C,K,0.071,0.078
Ag2F2,44f6ed525a5a,P1 (1),0.048,0.52,V,H,0.047,0.236
Ag2F2,44f6ed525a5a,P1 (1),0.048,0.52,V,H1,0.047,0.236
Ag2F2,44f6ed525a5a,P1 (1),0.048,0.52,C,H,0.011,3.755
Ag2F2,44f6ed525a5a,P1 (1),0.048,0.52,C,H1,0.011,3.755
S2V2,605c732d5111,P-6m2 (187),0.534,0.209,V,K,0.002,0.641
S2V2,605c732d5111,P-6m2 (187),0.534,0.209,C,K,0.047,0.052
BiBrSe,de5756e4fbfa,P3m1 (156),0.0,1.03,V,K,0.012,0.39
BiBrSe,de5756e4fbfa,P3m1 (156),0.0,1.03,C,K,0.225,1.749
Cl2Cu2,c1a86f114149,P1 (1),0.018,1.218,C,H,0.002,3.154
Cl2Cu2,c1a86f114149,P1 (1),0.018,1.218,C,H1,0.002,3.154
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,V,H,0.041,0.257
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,V,H1,0.041,0.257
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,C,H,0.123,0.188
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,C,H1,0.123,0.188
BiClS,99fd027b1d0b,P3m1 (156),0.12,1.841,V,K,0.062,0.298
BiClS,99fd027b1d0b,P3m1 (156),0.12,1.841,C,K,0.661,0.276
AsIn,c77a730c90f8,P3m1 (156),0.4,0.681,V,K,0.031,0.108
AsIn,c77a730c90f8,P3m1 (156),0.4,0.681,C,K,0.046,0.997
In2P2S6,793870f62166,P1 (1),0.053,0.852,V,H,0.007,0.429
In2P2S6,793870f62166,P1 (1),0.053,0.852,V,H1,0.007,0.429
In2P2S6,793870f62166,P1 (1),0.053,0.852,C,H,0.003,0.372
In2P2S6,793870f62166,P1 (1),0.053,0.852,C,H1,0.003,0.372
ISbTe,052a3116531d,P3m1 (156),0.123,1.031,V,K,0.051,0.682
ISbTe,052a3116531d,P3m1 (156),0.123,1.031,C,K,0.033,0.0
Se2V2,9cf30bd127fe,P-6m2 (187),0.42,0.248,V,K,0.01,0.5
Se2V2,9cf30bd127fe,P-6m2 (187),0.42,0.248,C,K,0.045,0.07
AsGa,728f322893fe,P3m1 (156),0.413,1.069,V,K,0.014,0.0
AsGa,728f322893fe,P3m1 (156),0.413,1.069,C,K,0.035,0.691
AsBrS,1dcd471c2288,P3m1 (156),0.034,1.38,V,K,0.127,0.51
AsBrS,1dcd471c2288,P3m1 (156),0.034,1.38,C,K,0.114,1.84
STeW,916afba26723,P3m1 (156),0.266,0.191,V,K,0.029,0.0
STeW,916afba26723,P3m1 (156),0.266,0.191,C,K,0.234,0.306
BiClTe,968a6902b7f5,P3m1 (156),0.0,0.938,V,K,0.179,0.599
BiClTe,968a6902b7f5,P3m1 (156),0.0,0.938,C,K,0.722,1.354
AsBrTe,671e6de2497a,P3m1 (156),0.163,1.098,V,K,0.133,0.673
AsBrTe,671e6de2497a,P3m1 (156),0.163,1.098,C,K,0.093,0.0
PbCl2,b0b142073783,P-6m2 (187),0.105,3.136,V,K,0.067,0.0
PbCl2,b0b142073783,P-6m2 (187),0.105,3.136,C,K,0.752,0.0
AsISe,5d829e480507,P3m1 (156),0.0,1.164,V,K,0.138,0.614
AsISe,5d829e480507,P3m1 (156),0.0,1.164,C,K,0.07,1.81
WS2,64090c9845f8,P-6m2 (187),0.0,1.551,V,K,0.43,0.0
WS2,64090c9845f8,P-6m2 (187),0.0,1.551,C,K,0.03,0.0
O2Sc2,b757b8efeeab,P-6m2 (187),0.249,0.694,V,K,0.01,0.173
O2Sc2,b757b8efeeab,P-6m2 (187),0.249,0.694,C,K,0.009,0.269
PbI2,9e6494406d07,P-6m2 (187),0.078,2.029,V,K,0.002,0.218
PbI2,9e6494406d07,P-6m2 (187),0.078,2.029,C,K,0.479,0.118
SnO2,d5f47e5d4cf7,P-6m2 (187),0.645,0.623,V,K,0.004,0.0
SnO2,d5f47e5d4cf7,P-6m2 (187),0.645,0.623,C,K,0.018,4.057
TiS2,65d41aaec667,P-6m2 (187),0.145,0.721,V,K,0.005,0.515
TiS2,65d41aaec667,P-6m2 (187),0.145,0.721,C,K,0.04,0.576
S2Tl2,751e767bff79,P-6m2 (187),0.119,0.666,V,K,0.012,1.013
S2Tl2,751e767bff79,P-6m2 (187),0.119,0.666,C,K,0.04,1.302
