Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE,anticrossing
PbSe2,45aa9714a72b,P-4m2 (115),0.372,0.286,V,X->M,0.006,0.0,False
PbSe2,45aa9714a72b,P-4m2 (115),0.372,0.286,C,G->M,0.167,0.862,False
PbSe2,45aa9714a72b,P-4m2 (115),0.372,0.286,C,G->X,0.036,0.281,False
SrI2,1059dc7f5fe4,P-4m2 (115),0.188,3.964,C,G->M,0.025,0.811,False
Bi2P2S6,287dcf4f1a19,P1 (1),0.053,0.953,V,X->H1,0.052,0.376,False
CdCl2,ff50eed37ec7,P-4m2 (115),0.043,3.632,C,G->X,0.001,2.312,False
AsIn,c77a730c90f8,P3m1 (156),0.4,0.681,V,G->M,0.005,0.985,False
AsIn,c77a730c90f8,P3m1 (156),0.4,0.681,V,G->K,0.064,1.058,False
AsIn,c77a730c90f8,P3m1 (156),0.4,0.681,C,G->M,0.082,1.406,False
AsIn,c77a730c90f8,P3m1 (156),0.4,0.681,C,M->G,0.082,1.406,False
AsIn,c77a730c90f8,P3m1 (156),0.4,0.681,C,G->K,0.121,1.669,False
In2P2S6,793870f62166,P1 (1),0.053,0.852,V,G->Y,0.005,0.0,False
In2P2S6,793870f62166,P1 (1),0.053,0.852,V,G->X,0.005,0.0,False
ZrSe2,001dfe9a7fa2,P-4m2 (115),0.319,1.452,V,G->M,0.058,0.784,False
ZrSe2,001dfe9a7fa2,P-4m2 (115),0.319,1.452,V,G->X,0.032,0.812,False
ZrSe2,001dfe9a7fa2,P-4m2 (115),0.319,1.452,V,X->M,0.032,0.812,False
TiTe2,bbb8e581bf27,P-4m2 (115),0.338,0.397,V,G->X,0.014,0.958,False
TiTe2,bbb8e581bf27,P-4m2 (115),0.338,0.397,V,X->M,0.014,0.669,False
TiTe2,bbb8e581bf27,P-4m2 (115),0.338,0.397,C,M->G,0.014,0.0,False
TiTe2,bbb8e581bf27,P-4m2 (115),0.338,0.397,C,M->X,0.016,0.033,False
ISbTe,052a3116531d,P3m1 (156),0.123,1.031,C,M->G,0.026,0.311,False
Se2V2,9cf30bd127fe,P-6m2 (187),0.42,0.248,C,M->K,0.04,0.0,False
AsGa,728f322893fe,P3m1 (156),0.413,1.069,V,G->M,0.016,1.087,False
AsGa,728f322893fe,P3m1 (156),0.413,1.069,V,M->G,0.016,1.087,False
AsGa,728f322893fe,P3m1 (156),0.413,1.069,V,G->K,0.043,1.243,False
AsGa,728f322893fe,P3m1 (156),0.413,1.069,C,G->M,0.08,1.418,False
AsGa,728f322893fe,P3m1 (156),0.413,1.069,C,M->G,0.08,1.418,False
AsGa,728f322893fe,P3m1 (156),0.413,1.069,C,G->K,0.122,1.784,False
AsBrS,1dcd471c2288,P3m1 (156),0.034,1.38,V,G->M,0.054,0.053,False
AsBrS,1dcd471c2288,P3m1 (156),0.034,1.38,V,G->K,0.068,0.0,False
AsBrTe,671e6de2497a,P3m1 (156),0.163,1.098,V,M->G,0.012,0.938,False
Pb2Se2,f615d3b872f4,Pmn2_1 (31),0.072,0.949,V,Y->G,0.005,0.002,False
Pb2Se2,f615d3b872f4,Pmn2_1 (31),0.072,0.949,C,S->Y,0.012,0.223,False
Pb2Se2,f615d3b872f4,Pmn2_1 (31),0.072,0.949,C,Y->S,0.012,0.223,False
Pb2Se2,f615d3b872f4,Pmn2_1 (31),0.072,0.949,C,Y->G,0.006,0.0,False
Pb2Se2,f615d3b872f4,Pmn2_1 (31),0.072,0.949,C,S->G,0.004,0.571,False
AsISe,5d829e480507,P3m1 (156),0.0,1.164,V,G->K,0.06,0.214,True
ZrHf3Te8,3663f526cdf1,P1 (1),0.127,0.165,V,S->X,0.004,0.454,False
