Formula,uid,kpath,band,Rashba_parameter,ehull,bandgap,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,max_Z4,max_Z,max_mass,pmid_grdf_trig_max,band_binary,radius_diff,n_elements,kpath_real_distance,E_pfrac_relevant
AsISe,5d829e480507,M->K,V,1.626,0.0,1.164,0.8922939066570377,0.8797309545139917,1.2333333333333332,0.0044688300315145,120.00000000009142,7890481,53,126.90447,-1.500165667592836,0,0.25,3,0.5323511028510831,0.8922939066570377
PbS,5e4ff1f56b4a,M->G,C,1.241,0.231,1.979,0.8989011752508484,0.774841563510968,1.4,0.0,-150.00000001782004,45212176,82,207.2,-0.9024573056510994,1,0.8,2,0.9185856251440868,0.774841563510968
Cr2Mo2Se8,60065d3bbcf2,X->G,V,1.173,0.016,0.837,0.1629753879269453,0.1203719765762379,1.3333333333333333,2.809348343827074,180.0,3111696,42,95.94,-7.37498517432899,0,0.3,3,0.4801730141865662,0.1629753879269453
Cr2W2Te8,62bb754c4cb2,G->X,V,1.535,0.082,0.512,0.2157043936857912,0.1016518741458471,1.3833333333333335,1.6925072948691413,0.0,29986576,74,183.84,-6.0563306131818315,0,0.0499999999999998,3,0.4463802575800266,0.2157043936857912
CrMo3S8,644f7c1c85c7,X->G,V,1.46,0.011,1.206,0.1854065113491833,0.1518783583282624,1.2833333333333332,3.4008998090369,180.0,3111696,42,95.94,-7.727094100701533,0,0.4499999999999999,3,0.4978233991020008,0.1854065113491833
WCr3Te8,6523c349753c,X->G,V,0.99,0.097,0.459,0.1806309371731511,0.0927822494170908,1.3833333333333335,1.804437740667562,180.0,29986576,74,183.84,-6.102950200405859,0,0.0499999999999998,3,0.4491086712505335,0.1806309371731511
AsBrTe,671e6de2497a,G->M,C,0.694,0.163,1.098,0.927546211775732,0.909375314729425,1.2333333333333332,0.0109743048528379,29.999999954309573,7311616,52,127.6,-1.827950774139872,1,0.25,3,0.9379071669776948,0.909375314729425
SeTeW,6e2a4c6f4f57,M->G,C,1.394,0.042,1.058,0.2588201614869204,0.1379246426011634,1.3,0.0046657804929235,-150.0000000328296,29986576,74,183.84,-1.7515391769253403,1,0.25,3,1.0567376458491684,0.1379246426011634
BiISe,70cbc0e44d36,G->K,C,2.089,0.0,0.929,0.9060614974704904,0.9184150831842453,1.3833333333333335,0.0011172221661371,60.00000000925636,47458321,83,208.9804,-1.27569862429879,1,0.4500000000000002,3,0.9804258086590304,0.9184150831842453
HfZr3Se8,70e7ab872359,G->S,V,0.95,0.15,0.819,0.8422121530840236,0.1814864790882361,1.4166666666666667,1.1364134093862193,49.07480172352387,26873856,72,178.49,-4.550265692310671,0,0.4000000000000001,3,0.6492462806165705,0.8422121530840236
Cr2Mo2S8,72b286460831,X->G,V,1.344,0.017,1.039,0.1786805448398726,0.1411907674565237,1.2833333333333332,3.65492256512691,180.0,3111696,42,95.94,-7.98336742632467,0,0.4499999999999999,3,0.5027963452538358,0.1786805448398726
STeW,75ee10091f43,G->K,C,3.947,0.086,1.168,0.293574412341913,0.1498061527142361,1.25,0.0050494758077243,60.00000001562721,29986576,74,183.84,-1.678734213870113,1,0.3999999999999999,3,1.2458135472996588,0.1498061527142361
S2Sn2,7a8373382b33,Y->G,C,4.469,0.043,1.434,0.7185895220588732,0.8186754780085288,1.225,0.0506262881642868,-90.0,6250000,50,118.71,-2.3235848149122487,1,0.4499999999999999,2,0.7730655510920621,0.8186754780085288
BiClSe,7fe9c5cb910c,M->G,C,0.746,0.119,1.601,0.9114345157094904,0.93294310439798,1.25,0.011333953476045,-149.99999999593345,47458321,83,208.9804,-1.877884853550792,1,0.6000000000000001,3,0.9004022087395867,0.93294310439798
Hf2Zr2Se8,81af2831dbb2,G->S,V,0.698,0.158,0.845,0.8295197197316269,0.190363806457994,1.4166666666666667,1.1447489134690554,49.06672007808193,26873856,72,178.49,-4.5718633959163295,0,0.4000000000000001,3,0.6502606272496572,0.8295197197316269
P2Sb2Te6,82b85dfd7723,X->G,V,2.596,0.14,0.633,0.8244461820584097,0.8318788232153959,1.2833333333333332,0.6539552019665499,150.08738780717383,7311616,52,127.6,-5.494309473272709,0,0.4499999999999999,3,0.3185850856454946,0.8244461820584097
Ti2Zr2Se8,846b50801a93,Y->S,V,1.767,0.142,0.616,0.7638579163771706,0.1319633735503248,1.3666666666666665,1.054854130826018,49.17901520778983,2560000,40,91.224,-4.49528086270106,0,0.4000000000000001,3,0.687479174779775,0.7638579163771706
MoCr3Te8,899032b4ad0c,G->Y,V,1.409,0.087,0.481,0.1895688272224866,0.1019344113918172,1.4166666666666667,1.5343923781805922,90.0,7311616,52,127.6,-4.476850256412183,0,0.05,3,0.4496904811641848,0.1895688272224866
STeW,916afba26723,M->G,C,3.622,0.266,0.191,0.2260818398707595,0.3590873032806925,1.25,0.0408814073123662,-149.9999999785103,29986576,74,183.84,-1.4242995656213564,1,0.3999999999999999,3,1.0910434248861145,0.3590873032806925
MoCr3Se8,961c37d6e527,X->G,V,0.977,0.01,0.726,0.158679447921649,0.1159971336328279,1.3333333333333333,2.968544820496833,180.0,3111696,42,95.94,-7.43064238743913,0,0.3,3,0.4844763113946748,0.158679447921649
BiClTe,968a6902b7f5,M->K,V,1.175,0.0,0.938,0.901195181671016,0.9106283567992832,1.3333333333333333,0.0007074822080398,119.99999995915002,47458321,83,208.9804,-1.4805482147981084,0,0.6000000000000001,3,0.4866569930768196,0.901195181671016
Cr2Mo2Te8,988b11badabb,X->G,V,1.105,0.067,0.575,0.2124826412893839,0.1041993926048926,1.4166666666666667,1.708587639699576,180.0,7311616,52,127.6,-6.07740240612844,0,0.05,3,0.4471347844703027,0.2124826412893839
BiClS,99fd027b1d0b,M->G,C,0.461,0.12,1.841,0.909282666768928,0.9372956282273632,1.2,0.0127492878351768,-149.99999999570173,47458321,83,208.9804,-1.87593975146013,1,0.6000000000000001,3,0.9191238873945335,0.9372956282273632
WMo3S8,9c2979187585,X->G,V,1.816,0.0,1.582,0.2052901218121179,0.207664962128622,1.2666666666666666,3.1573920200576935,180.0,29986576,74,183.84,-7.620831497352341,0,0.4499999999999999,3,0.4930137227228399,0.2052901218121179
PbSe,a0dbdc6630fa,M->G,C,1.603,0.217,1.68,0.9241098190833938,0.7879851211433209,1.475,0.0,-150.0000000273454,45212176,82,207.2,-0.9480257641880072,1,0.6500000000000001,2,0.8896008375799469,0.7879851211433209
TiZr3Se8,a148361e5e9a,S->Y,V,1.321,0.144,0.701,0.8026965681371502,0.1449765152582613,1.3666666666666665,0.8654389572979732,-130.87219067532004,2560000,40,91.224,-4.2838574687819655,0,0.4000000000000001,3,0.6785193304136014,0.8026965681371502
Mo2W2Se8,a1d716aad84d,X->G,V,1.784,0.0,1.288,0.2050796246622059,0.1834049364521039,1.3166666666666669,2.3531099345395177,180.0,29986576,74,183.84,-6.91151139312337,0,0.3,3,0.4730773974396558,0.2050796246622059
CrMo3Se8,a7233837cfe9,Y->S,V,1.311,0.01,0.971,0.2003083671083162,0.1477262102974496,1.3333333333333333,1.947957011223222,0.0,3111696,42,95.94,-6.484813107670166,0,0.3,3,0.4764667324798435,0.2003083671083162
BiClSe,a80866a2c6b4,M->G,C,3.032,0.0,1.139,0.8702984144182764,0.9014430142409324,1.25,0.0002768495591408,-150.00000004311804,47458321,83,208.9804,-1.5649367566501076,1,0.6000000000000001,3,0.8749546267614479,0.9014430142409324
BiITe,a84d988e38ac,M->G,C,0.467,0.11,0.691,0.934812594962855,0.9417767775687268,1.4666666666666668,0.0039598906357175,-149.9999999925854,47458321,83,208.9804,-1.5876488921019578,1,0.2000000000000001,3,0.8444810989227988,0.9417767775687268
CrW3S8,a9f87eba4b96,X->G,V,1.909,0.009,1.144,0.1919601306899144,0.1713770613500185,1.25,3.359788364660403,180.0,29986576,74,183.84,-7.718560393486372,0,0.3999999999999999,3,0.4969695910515046,0.1919601306899144
 ,aa9a981d89aa,G->Y,V,4.457,0.054,0.875,0.8340700960545168,0.8638507706444664,1.25,0.9747157556120232,59.95906716716718,47458321,83,208.9804,-6.0391530199664984,0,0.6000000000000001,3,0.871399632820466,0.8340700960545168
BiIS,acdcd16c0d76,G->M,C,1.858,0.014,1.139,0.903623557863302,0.9238137730702656,1.3333333333333333,0.0007522787577415,30.000000062727228,47458321,83,208.9804,-1.3587895036116344,1,0.6000000000000001,3,0.8651536960797074,0.9238137730702656
AsIS,b13beafa16aa,M->K,V,2.033,0.064,1.395,0.8936670822854337,0.8952076420903963,1.1833333333333331,0.0050023399006459,119.99999999043432,7890481,53,126.90447,-1.529546443959513,0,0.3999999999999999,3,0.5448908289780512,0.8936670822854337
ZrHf3Se8,b8fb10416122,S->G,V,0.725,0.165,0.843,0.8326247051860165,0.2009389569933805,1.4166666666666667,1.20096235991069,-130.89648561884889,26873856,72,178.49,-4.72816793369376,0,0.4000000000000001,3,0.6515476384127739,0.8326247051860165
BiClTe,badda86cab42,M->G,C,1.458,0.129,0.948,0.9359477403697092,0.9378360161127248,1.3333333333333333,0.0087227757335184,-150.00000004401488,47458321,83,208.9804,-1.8466459590889532,1,0.6000000000000001,3,0.867589079537795,0.9378360161127248
Mo2W2Te8,c04fc052f2ca,X->G,V,1.645,0.011,0.879,0.2958079752151466,0.1399480237647956,1.3999999999999997,1.3681197368364582,180.0,29986576,74,183.84,-5.595967636034228,0,0.0999999999999998,3,0.4424986708726083,0.2958079752151466
