Formula,uid,Rashba_parameter,Predicted,Residual,AbsResidual
CrW3S8,a9f87eba4b96,1.909,1.9786714315414429,-0.06967143154144284,0.06967143154144284
AsIS,b13beafa16aa,2.033,2.100273609161377,-0.06727360916137703,0.06727360916137703
Hf2Ti2Se8,cce78d90e899,1.409,1.4760065078735352,-0.06700650787353513,0.06700650787353513
ISSb,4c49d27e66e5,0.907,0.971394956111908,-0.06439495611190793,0.06439495611190793
Mo2W2Te8,c04fc052f2ca,1.645,1.7022227048873901,-0.05722270488739012,0.05722270488739012
Mo2W2S8,449640ec4d30,1.954,1.9855475425720215,-0.031547542572021525,0.031547542572021525
TiZr3Te8,4f1ab08988cc,1.679,1.7093384265899658,-0.030338426589965772,0.030338426589965772
HfTi3Se8,c55716558616,1.191,1.1610115766525269,0.029988423347473203,0.029988423347473203
Cr2Mo2S8,72b286460831,1.344,1.3703315258026123,-0.02633152580261222,0.02633152580261222
Mo2W2Se8,a1d716aad84d,1.784,1.806947946548462,-0.022947946548461884,0.022947946548461884
HfZr3Se8,70e7ab872359,0.95,0.9438140392303467,0.006185960769653276,0.006185960769653276
AsBrS,1dcd471c2288,3.109,3.114565134048462,-0.005565134048461928,0.005565134048461928
WCr3Se8,c798e725e2fb,1.16,1.1636615991592407,-0.0036615991592408026,0.0036615991592408026
