uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,C_pfrac_h1_VBM,C_pfrac_h1_CBM,C_pfrac_h2_VBM,C_pfrac_h2_CBM
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,0.08745892568236767,0.24134093936557224,0.013530375429865136,0.04267683612746096
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,0.9464465172845002,0.7095993151484004,0.04438228681395084,0.2296120678039065
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,0.018064605671665946,0.04609153104340312,0.9684433616478544,0.9158756023855233
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,0.9502379883550774,0.9535644732725458,0.026611101481311114,0.017966217313864434
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,0.15479356755176366,0.07495062966209232,0.6357848872502077,0.810272732604047
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,0.041662124142759355,0.015271831344859816,0.9300782492154883,0.9422174566683607
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,0.293508635627954,0.698989589930017,0.6518246222384168,0.284799532914238
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,0.9384652789123625,0.941763884569325,0.04927493230946869,0.04070356544940695
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,0.22882419313673275,0.8786855442090389,0.35163555869971164,0.04515704464434971
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,0.07344511622573285,0.07782301015045237,0.13032933668058805,0.1471443529852124
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,0.3414074592432469,0.7521372556565216,0.6585925407567531,0.24786274434347835
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,0.025385837440651128,0.0672340119044139,0.968424968994911,0.9120530571955328
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,0.06638062916465412,0.08031876731450181,0.04045310406580365,0.0399172059949224
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,0.08850842018856157,0.06848459428553196,0.9054242303013659,0.9178846506084428
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,0.23618231331861236,0.8464629179074693,0.6475441334215907,0.13355661831661114
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,0.0690845167474392,0.624220854102377,0.3968970493475734,0.25627421454224036
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,0.30467185515103073,0.28117356081705697,0.011385337469803225,0.02246029347059006
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,0.17067789517599147,0.6387621157092817,0.8139117310506013,0.32211280332852105
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,0.05827510569628356,0.8052739438034051,0.8067328044533595,0.15677543048628312
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,0.8424015711513118,0.3941311305721273,0.03802743362735571,0.5515291417962228
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,0.12438345503858111,0.3561604204429246,0.0065700233692280174,0.020471906814208553
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,0.2757162880776173,0.6782954565079012,0.6808346756923817,0.28952008716508026
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,0.06684791923270908,0.06372530553233278,0.8979611282961227,0.9064554320177656
