uid,Formula,alpha_R,window,E_pfrac_VBM,E_pfrac_CBM
e9e5bee778b6,Ga2Br6,0,1.0,0.9831315711388131,0.49583429202624785
6152fa4b5f1b,Ge2P2Se6,0,1.0,0.7679762401002075,0.6942508128084228
e8f4b479deef,Ge2P2Te6,0,1.0,0.839238096547174,0.7724062325347156
978e95bef964,HgBr2,0,1.0,0.8802119916418697,0.4757321288134313
d59933910be2,In2Br6,0,1.0,0.9821706200364672,0.49287509217243464
89b069b9f428,In2Cl6,0,1.0,0.9816392987569826,0.4498223962080413
d90f9a6ab379,In2I6,0,1.0,0.9796392075325961,0.5437884471221603
3cf9ea4cebc4,In2Te2,0,1.0,0.9179451930341986,0.4190388239998686
2ddba2a8216d,Ir2P2S6,0,1.0,0.5337629589902084,0.591085293611774
65c3ae4ecac2,Ir2P2Se6,0,1.0,0.6317896955231749,0.551693473549482
1a850181de67,Ir2P2Te6,0,1.0,0.778700410572936,0.5323049943312591
c9aa3a9d876c,Nb2P2S6,0,1.0,0.12011736077432958,0.29668003072306415
7cf77f91eef0,P2Pb2S6,0,1.0,0.8505195979298701,0.8305692838419207
1811d52ac455,P2Pb2Se6,0,1.0,0.87452886240475,0.7518983688757688
f0b8906970f5,P2Pb2Te6,0,1.0,0.8901618413431657,0.7151862580926093
3a65ac9ff395,P2Pt2Se6,0,1.0,0.7040997694605514,0.494299209695103
c10e77a99b6c,P2Rh2Se6,0,1.0,0.7099589068196724,0.4533096138480193
0f1f68e6fa79,P2Rh2Te6,0,1.0,0.767650943672696,0.48338995392569206
dc750358a911,P2Ru2Te6,0,1.0,0.24975732038773382,0.6677369484427639
aa34f4a1c451,P2Sn2S6,0,1.0,0.7035465771672746,0.7890758105430544
321533580298,P2Sn2Te6,0,1.0,0.7804355227939264,0.7138701539626
e2c90519357b,P2Ta2Se6,0,1.0,0.4757393424571338,0.31676428932924794
f821141337d6,P2Zr2S6,0,1.0,0.7490446387864218,0.21258115048592868
fdff29051b6d,Pb2S2,0,1.0,0.8870751025828627,0.7059859687760228
a346b1c50933,Pb2Se2,0,1.0,0.9122291136034393,0.7091005054835855
21e7665ac8f4,Re2Cl6,0,1.0,0.23489880690515033,0.2158496382976974
04979b21e197,Re2I6,0,1.0,0.19852982666728225,0.2415632332646735
7edb67bf350a,S2Sn2,0,1.0,0.8029503196213017,0.776932553289884
fb0b06c4bab6,S2Tl2,0,1.0,0.8942101105319478,0.5504765629935068
a43351c43cd3,Sc2Br6,0,1.0,0.952540091940723,0.03877412874820242
3eef25de07b3,Sc2Cl6,0,1.0,0.973721111258545,0.0365355232198403
d59c550c4a3a,Sc2I6,0,1.0,0.9142674117915222,0.04213999958787286
aa0e94e8944e,Se2Si2,0,1.0,0.7952150366222657,0.7342012542636409
9b27b6ad7899,Se2Sn2,0,1.0,0.8622907557502191,0.769251558945077
16490f81af26,Se2Tl2,0,1.0,0.9070525644753842,0.5756100365459291
653f8247e25e,Sn2Te2,0,1.0,0.7805281508383048,0.7495388668348769
d6c3ab6de6b8,SnF2,0,1.0,0.5810466372599066,0.958033554745036
e03e4067ecb2,SrCl2,0,1.0,0.9793204318523254,0.15175981003036373
ecf4b958e9a1,Te2Ti2,0,1.0,0.23988153895023295,0.12933715712369726
44ffc9d405b8,Te2Tl2,0,1.0,0.9068311305697109,0.578426341672012
0428a52595e8,TiS2,0,1.0,0.8098062166107871,0.06317264632995667
ef8df28dd878,Tl2Br6,0,1.0,0.9754657258554037,0.6000721201411758
a7ad562f5ed6,Tl2Cl6,0,1.0,0.9715348109687811,0.5486174308974074
8b75f770fbf8,Tl2I6,0,1.0,0.9717166147994031,0.6738441951964116
eea8aee9e120,W2Cl6,0,1.0,0.29749099968237286,0.16402547543367124
6d976a1e88b3,Y2Br6,0,1.0,0.9690724098170214,0.055134309928833905
e9b63ba77c55,Y2Cl6,0,1.0,0.9741804289764556,0.06917922514077662
d2a7ba833570,Y2I6,0,1.0,0.9292230631134418,0.053531251391978826
a57169b6ba57,ZnF2,0,1.0,0.6449111298697321,0.2637349377144954
