uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,E_pfrac_VBM,E_pfrac_CBM
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,0.9311785526870192,0.7994363268899549
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,0.7987767433307077,0.15944185782909334
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,0.15428122405671896,0.11084076633416923
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,0.9468453737513559,0.9381116900544377
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,0.9371497425628621,0.9338553284954838
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,0.20726338805496444,0.21468056786782738
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,0.8440266668986302,0.9145043455561068
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,0.9067714092588202,0.9212175840416547
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,0.7732005190484386,0.6736048722630876
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,0.7806803560540508,0.8606994436980863
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,0.6849715466889554,0.13474401937250613
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,0.8748022705579596,0.850388063665775
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,0.7405566209593908,0.11546536297938627
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,0.16877299400649012,0.1398028194256778
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,0.16812670758218465,0.157123881369535
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,0.8378311435722494,0.881194264676874
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,0.28508198681466557,0.14123642572627182
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,0.8096352520917903,0.8238161694562693
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,0.8922939066570377,0.8797309545139917
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,0.8989011752508484,0.774841563510968
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,0.16297538792694538,0.12037197657623792
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,0.2157043936857912,0.10165187414584712
