uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,F_ph1_VBM,F_ph1_CBM,F_ph2_VBM,F_ph2_CBM
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,17.075060217979033,41.89640135483127,103.65894327226474,78.06163321840789
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,33.18927039682162,99.00015396221585,101.20649578701766,32.62268474852118
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,11.45998984856024,8.213560032619087,59.77750531258795,9.697618306709424
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,0.04863024915194759,0.04350231250566791,0.042574885951573285,0.10373757141561622
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,5.581700747493165,124.13832564129417,114.90812219781223,21.43751274031744
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,2.8568380706732,117.10371137357157,107.24524258653598,18.774347927755194
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,0.43149302386230287,0.3147406266050335,0.2877324292606598,0.6652234206471496
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,5.525724124962618,131.77301192202586,21.58902643707869,11.857137809748371
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,102.02509307284078,24.898381843860957,3.5585845850927837,51.50158470813708
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,80.84396137338614,70.61554600310814,0.8750653650464637,2.236473562329923
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,2.776648932783654,77.61085822439767,24.98087611276089,13.5974288323777
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,87.55184521606081,16.639728040441252,1.966715688161694,0.9339212728020848
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,46.67397449155464,20.444541697058106,13.009244526857561,40.89083580841235
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,0.8505121669767806,0.36515238358847685,55.9779435036628,8.310915323525025
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,0.51644982881222,0.22993857905434079,9.122233342112192,6.19804167690349
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,0.25598514736597816,0.2238154792867973,0.0462562968979655,0.28543673812712356
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,42.71363564575144,27.62392375002309,2.056669416429185,72.58906720119866
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,1.012452578283866,0.9777529011183428,18.605509778093612,13.64025530263699
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,5.356214422744371,31.88886084040866,58.28831360780195,30.456567361923682
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,57.70284508326972,30.127247100594506,30.89372729395301,5.209007910232407
