uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,B_WMp_VBM,B_WMp_CBM
2f6f133abcc8,MoW3S8,2.241,W,Mo,183.84,95.94,3,6.995238861961357,7.247082414416562
304bc6a92d82,BiBrTe,1.13,Bi,Te,208.9804,127.6,3,121.38949553707448,152.653771748384
323fb700d903,WMo3Te8,1.501,W,Te,183.84,127.6,3,19.10362450915018,15.787273617058466
343d2125478e,ISbSe,1.17,I,Sb,126.90447,121.76,3,102.63501333278992,98.22223818487983
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,120.73400349024377,119.95803457323916
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,134.39576618383927,131.62283871073703
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,71.53585045246177,18.321638648609444
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,3.6343957616875264,1.7872743447900603
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,122.239221532361,151.149720194577
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,119.8493739251999,153.66358886647748
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,6.489169383231191,5.905545497346346
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,44.72726113747092,147.71802451475307
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,109.51894508193621,84.80604847289162
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,83.09103976177782,73.97830933775326
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,42.314238880085476,92.42571954869366
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,89.94122600626837,17.83719589709427
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,70.91427968714711,63.73166585946997
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,58.03346265106134,9.594333021057334
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,9.739105802826792,6.654439048087015
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,4.283391363038601,3.2613918807344513
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,59.107677219680156,102.21260297688772
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,19.830598655945103,14.841979873801078
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,64.47838540192893,69.09099252271892
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,90.91708350705557,76.63844612379607
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,54.42442535526918,110.17935350756534
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,9.127662702774282,5.251519161870081
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,16.55187998538428,5.29937090838308
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,5.069848913317534,3.7395945816852003
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,14.84078408970881,4.023843739270089
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,89.60631924343122,84.15468740754119
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,20.72892168524828,10.753515156912286
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,90.98198068844403,152.5159371490072
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,73.35290057258905,19.530083985160687
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,4.537003863307803,3.026207291009003
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,14.26572968647465,13.055907486126262
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,35.33915898550725,88.20762030874566
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,72.31863484617479,143.22070017398028
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,73.2375423521176,22.207159730971952
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,102.00234806325622,86.98199113247792
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,62.41952942409657,11.255804691557502
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,12.889249941270952,6.5298769400813
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,17.455963525825307,25.070121067621777
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,7.970080267356147,3.413819696345555
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,128.8530184257686,151.06570179598083
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,18.402582585356544,5.323028983803553
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,36.93779270417362,139.97251471854298
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,6.093578321120219,5.640656908186219
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,91.68638691112608,117.34841137899957
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,66.80957310160747,12.216995150507895
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,14.089073969508753,11.044255192878339
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,11.301860725740186,5.821640774164253
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,72.3161304515958,147.20654705300765
