uid,Formula,alpha_R,A_WM_VBM_w005,A_WM_CBM_w005,B_WMp_VBM_w005,B_WMp_CBM_w005,C_pfrac_h1_VBM_w005,C_pfrac_h1_CBM_w005,C_pfrac_h2_VBM_w005,C_pfrac_h2_CBM_w005,D_wm_h1_VBM_w005,D_wm_h1_CBM_w005,D_wm_h2_VBM_w005,D_wm_h2_CBM_w005,E_pfrac_VBM_w005,E_pfrac_CBM_w005,F_ph1_VBM_w005,F_ph1_CBM_w005,F_ph2_VBM_w005,F_ph2_CBM_w005,A_WM_VBM_w01,A_WM_CBM_w01,B_WMp_VBM_w01,B_WMp_CBM_w01,C_pfrac_h1_VBM_w01,C_pfrac_h1_CBM_w01,C_pfrac_h2_VBM_w01,C_pfrac_h2_CBM_w01,D_wm_h1_VBM_w01,D_wm_h1_CBM_w01,D_wm_h2_VBM_w01,D_wm_h2_CBM_w01,E_pfrac_VBM_w01,E_pfrac_CBM_w01,F_ph1_VBM_w01,F_ph1_CBM_w01,F_ph2_VBM_w01,F_ph2_CBM_w01,A_WM_VBM_w05,A_WM_CBM_w05,B_WMp_VBM_w05,B_WMp_CBM_w05,C_pfrac_h1_VBM_w05,C_pfrac_h1_CBM_w05,C_pfrac_h2_VBM_w05,C_pfrac_h2_CBM_w05,D_wm_h1_VBM_w05,D_wm_h1_CBM_w05,D_wm_h2_VBM_w05,D_wm_h2_CBM_w05,E_pfrac_VBM_w05,E_pfrac_CBM_w05,F_ph1_VBM_w05,F_ph1_CBM_w05,F_ph2_VBM_w05,F_ph2_CBM_w05
1667d1443160,TiHf3Te8,1.512,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,130.22090555565018,117.40807887483945,96.33570228554382,26.96078450128769,0.12153921920623391,0.2811735993240339,0.874417368817775,0.7056936534760474,38.7420025062435,75.31006338387263,86.4210396363455,23.088888458584258,0.7339049009536139,0.19897501436141718,11.708566037469199,7.580660818826688,84.23761131573774,19.026054515294106
18e377cce57f,Ti2Zr2Te8,1.855,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,105.85773727971079,72.1895373733442,84.10360781744237,20.04535644865042,0.9731729548066234,0.9399177941328747,0.01658606738572357,0.03437613112396219,84.08107727067329,22.316147474182287,11.469573321283328,21.835348943572026,0.6747220967013103,0.16597535609589956,81.84735652959782,18.840987215822697,1.3949481066425666,0.6890818017053679
18e62ba75259,BrSbTe,2.631,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,110.38316619583051,118.6116201635047,89.65162401580511,96.06848120683043,0.5772620077514823,0.23460654460321462,0.14021708643412883,0.701298434547007,52.28615517772208,39.220898031123134,31.810038494873922,69.95358384927279,0.8258113168339318,0.8070173166426109,51.75247647754466,22.538294421213347,12.570689513584165,67.37267547965874
1a3bdd1b142a,HgTe,0.618,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,152.54069855552927,0.0,100.07314468387403,0,0.21406575237922704,0,0.7859342476207729,0.0,68.54164574946721,0.0,83.99905280606205,0,0.7231825716315416,0.0,21.42223300970874,0.0,78.65091167416529,153.22006370436105,154.3308004235045,101.98689317106155,91.54946885477325,0.2307258323738918,0.2056893799674656,0.7692741676261082,0.7943106200325344,70.40866664553752,73.46117628374803,82.81139705882354,80.8696241397565,0.7321670047329278,0.6637727192518088,23.531010818120357,18.830753485089115,78.4558823529412,72.71871536968413
1a3be826b3e0,AsClSe,3.717,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,63.53652649522799,69.76990069681773,51.13282461028632,55.73787020549466,0.6621654790714726,0.12317164402440159,0.11267003911470935,0.8129139766681863,34.04993001060445,18.293515600727886,17.695560296924707,46.00839987572678,0.830448038176034,0.7921974168922818,33.858391304347826,6.865325107629488,5.761137348886533,45.310093719763884
1dcd471c2288,AsBrS,3.109,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,56.63695777846068,71.02255489957652,43.152472348146254,62.59124281321811,0.620239221739593,0.25749287478571276,0.03750366184001416,0.7267572937278235,26.937261362079614,21.42967858827318,14.76254286398088,45.67587073920822,0.8171667500528035,0.8395957836840761,26.76485586535354,16.116799048386113,1.6183757305054391,45.48864223799548
20f098bd3f31,O2Pb2,1.914,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,69.33283369226793,137.07265107436612,36.35373849589109,120.97398330354801,0.6853613260899125,0.9517949520705866,0.31463867391008743,0.04820504792941343,57.79630116766326,131.20449215435863,11.536532524604672,5.8681589200075015,0.8351683575552248,0.9201926519623643,24.91544642386982,115.14242664018842,11.43829207202127,5.831556663359592
211bcb7f05d6,GeSe,0.94,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,77.00364031456328,75.2439172614832,71.06476131114155,54.580701535634326,0.7595077774468809,0.4053335810145198,0.2404922225531191,0.5946664189854802,54.51788595536669,32.53248527954326,22.485754359196594,42.711431981939946,0.918841337993551,0.7270089984537553,53.97423891821821,22.12339120772336,17.090522392923344,32.45731032791097
24d6cc0a0fed,MoW3Se8,2.097,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,144.77904691773617,133.32727798681947,15.416673679781189,15.351657132914283,0.10286446552017083,0.08360825347834301,0.021603552076445792,0.021884150751985826,108.45515674310961,85.50437305609326,22.294494003787076,31.56961654740413,0.18304228908058068,0.18439654609913655,1.5858278981695773,1.28352524088131,0.3330549126867241,0.3359579789894947
287dcf4f1a19,Bi2P2S6,1.406,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,48.671716607025374,115.21329577149459,38.47266097549996,109.53028000887946,0.3485179975851975,0.8703534551679619,0.5761032975277691,0.10093784744726933,19.86951123712233,98.37284889157677,22.724968779759326,13.131456972182754,0.8490174010908147,0.9024798032699965,13.408414764955419,95.33005765124258,22.16422685265345,11.055750694392968
