uid,Formula,alpha_R,E_pfrac_VBM,E_pfrac_CBM,max_mass,max_Z,max_Z4,X_diff,X_mean,radius_diff,radius_mean,WM_VBM,WZ4_VBM,pZ4_VBM,Wr_VBM,WX_VBM,WM_CBM,WZ4_CBM,pZ4_CBM,Wr_CBM,WX_CBM
1667d1443160,TiHf3Te8,1.512,0.7339049009536139,0.19897501436141718,178.49,72,26873856,0.8,1.6466666666666665,0.15000000000000013,1.45,130.22090555565018,10809853.392528292,6591679.251669842,1.4325581286118914,1.867184284161048,117.40807887483945,12754899.15034629,2233307.3283374966,1.4632893131692581,1.540067643888491
18e377cce57f,Ti2Zr2Te8,1.855,0.6747220967013103,0.16597535609589956,127.6,52,7311616,0.77,1.656666666666667,0.15000000000000013,1.45,105.85773727971079,5190245.361482151,4733302.027076366,1.4188594667871666,1.8826046091278807,72.1895373733442,2028715.0445560813,1101467.9688119593,1.4359039544586492,1.5876736689737383
18e62ba75259,BrSbTe,2.631,0.8258113168339318,0.8070173166426109,127.6,52,7311616,0.9100000000000001,2.37,0.30000000000000004,1.3333333333333333,110.38316619583051,5257152.94832374,4139599.0884205066,1.330817114220896,2.369861866045086,118.6116201635047,6311376.880096489,5150453.538681436,1.3991995228432281,2.172845110125038
1a3bdd1b142a,HgTe,0.618,0.7321670047329278,0.6637727192518088,200.59,80,40960000,0.10000000000000009,2.05,0.10000000000000009,1.45,153.22006370436105,19122463.261663288,9300582.014874917,1.4351007860040568,2.0648992139959432,154.3308004235045,19634512.797882482,8012054.885053821,1.4366225516146112,2.0633774483853893
1a3be826b3e0,AsClSe,3.717,0.830448038176034,0.7921974168922818,78.96,34,1336336,0.98,2.6300000000000003,0.1499999999999999,1.0999999999999999,63.53652649522799,884145.8777836692,691342.0196712619,1.1001126723223753,2.6654856839872747,69.76990069681773,1050743.9683547115,841788.3500066577,1.126865207935733,2.416869202432205
1dcd471c2288,AsBrS,3.109,0.8171667500528035,0.8395957836840761,79.904,35,1500625,0.7799999999999998,2.5733333333333333,0.1499999999999999,1.0999999999999999,56.63695777846068,770094.1733882541,558456.4099642946,1.0801240282906586,2.6292897674499898,71.02255489957652,1133458.0353970134,1024725.7596377698,1.1316762564848193,2.438053710749797
20f098bd3f31,O2Pb2,1.914,0.8351683575552248,0.9201926519623643,207.2,82,45212176,1.1099999999999999,2.885,1.2000000000000002,1.2,69.33283369226793,12614423.253338872,5439615.324332029,0.9347276129401346,3.130376958030375,137.07265107436612,28631041.838193137,25126201.710182406,1.3598715761835443,2.7371187920302216
211bcb7f05d6,GeSe,0.94,0.918841337993551,0.7270089984537553,78.96,34,1336336,0.54,2.28,0.10000000000000009,1.2,77.00364031456328,1247259.724196002,1160177.4443201558,1.180955058313872,2.382842685105091,75.2439172614832,1167136.6378424694,842950.1634230106,1.2087987775081772,2.232486601455843
24d6cc0a0fed,MoW3Se8,2.097,0.18304228908058068,0.18439654609913655,183.84,74,29986576,0.3899999999999997,2.3566666666666665,0.30000000000000004,1.3166666666666667,144.77904691773617,18650907.4454029,497909.8674521355,1.337702503681885,2.347282768777614,133.32727798681947,15245815.818169951,452661.4743893686,1.341737172934293,2.3332988233247054
287dcf4f1a19,Bi2P2S6,1.406,0.8490174010908147,0.9024798032699965,208.9804,83,47458321,0.56,2.263333333333333,0.6000000000000001,1.2,48.671716607025374,4568638.087146135,3095018.8804973606,1.057047008916977,2.450235802095057,115.21329577149459,22372843.936313324,21676677.36250393,1.282436579387091,2.2696915128344903
2d41b3dd1772,BiITe,2.086,0.8845367752050843,0.910721764623761,208.9804,83,47458321,0.6400000000000001,2.2600000000000002,0.20000000000000018,1.4666666666666668,142.16213118738975,14751655.072990451,9565442.833188677,1.4362628440238538,2.241122714673685,169.3444187519196,28051257.471450508,27108543.26029597,1.5028619293592071,2.1476671785564707
2ea941c8bc3c,MoSTe,2.525,0.228287841191067,0.23131925853129554,127.6,52,7311616,0.48,2.28,0.44999999999999996,1.2833333333333334,91.94688342334454,3233426.7682576757,766280.4005254707,1.39018391475697,2.2034505911545765,96.40190365651156,3576675.839371039,1119099.9415771458,1.4082940797722727,2.1813616184892743
2f6f133abcc8,MoW3S8,2.241,0.19135515570015274,0.18422046055115138,183.84,74,29986576,0.41999999999999993,2.3666666666666667,0.44999999999999996,1.2666666666666666,135.79884154438616,18413587.49458867,164223.0709780227,1.3058711240953458,2.3575386760507273,126.45411903200812,15403404.338797165,240025.52923645472,1.3213566191810218,2.3310258091434704
304bc6a92d82,BiBrTe,1.13,0.9053969681076897,0.8935834778495978,208.9804,83,47458321,0.94,2.36,0.4500000000000002,1.3833333333333335,139.6874945480882,15861098.369820934,11975080.856996577,1.4103231687520292,2.206812017681876,165.93081500867098,28229480.546113823,27161679.110594347,1.4791502443638656,2.1544884124231434
