uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,A_WM_VBM,A_WM_CBM
4da5c6be60db,BrSSb,2.39,Sb,Br,121.76,79.904,3,67.3717459083082,100.80177900731326
4f1ab08988cc,TiZr3Te8,1.679,Te,Zr,127.6,91.224,3,112.00694921645567,81.0587779062249
4fd8ad708fb0,AsClTe,2.895,Te,As,127.6,74.9216,3,81.78294820335437,87.52359402868953
52a5e2b280d4,ZrTi3Se8,1.091,Zr,Se,91.224,78.96,3,72.20465567411615,56.52127555517703
548aa830244c,Cr2W2Se8,1.39,W,Se,183.84,78.96,3,87.30064720393293,61.37470231166104
5974b6403c31,Cr2W2S8,1.592,W,Cr,183.84,51.9961,3,81.10551110079678,56.408522727524264
5b94060698bc,ISSb,2.844,I,Sb,126.90447,121.76,3,82.60936959708772,112.13808759097765
5c3fe56a1a89,MoW3Te8,2.045,W,Te,183.84,127.6,3,154.0060820772852,150.37976809778718
5d1a32a28ffa,P2Sb2Se6,2.546,Sb,Se,121.76,78.96,3,81.87196357015456,79.78391282933262
5d829e480507,AsISe,1.626,I,Se,126.90447,78.96,3,100.28472415131398,90.75984477312396
5e4ff1f56b4a,PbS,1.241,Pb,S,207.2,32.065,2,72.90455875311974,154.27405845942226
60065d3bbcf2,Cr2Mo2Se8,1.173,Mo,Se,95.94,78.96,3,67.22885829305436,57.43235372077997
62bb754c4cb2,Cr2W2Te8,1.535,W,Te,183.84,127.6,3,92.50191718596426,67.0019907604464
644f7c1c85c7,CrMo3S8,1.46,Mo,Cr,95.94,51.9961,3,71.0957122837981,65.75204170087319
6523c349753c,WCr3Te8,0.99,W,Te,183.84,127.6,3,74.21811803271278,58.10502430082516
671e6de2497a,AsBrTe,0.694,Te,Br,127.6,79.904,3,94.46909931088607,91.42059811590583
6e2a4c6f4f57,SeTeW,1.394,W,Te,183.84,127.6,3,169.50846344194602,174.99267059116508
70cbc0e44d36,BiISe,2.089,Bi,I,208.9804,126.90447,3,115.21455935429478,161.77005109939194
70e7ab872359,HfZr3Se8,0.95,Hf,Zr,178.49,91.224,3,84.66554525710094,103.1765583515845
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,60.825280052905164,53.478074010288786
