uid,Formula,alpha_R,G_wm_h1_VBM,G_wm_h1_CBM,G_wm_h2_VBM,G_wm_h2_CBM
2ea941c8bc3c,MoSTe,2.525,56.30487106017193,32.466704871060166,213.65205730659022,124.36463037249285
2f6f133abcc8,MoW3S8,2.241,0.6405574912891983,0.4270383275261321,0.11142857142857135,0.11142857142857135
304bc6a92d82,BiBrTe,1.13,2.47411681136543,15.009641988950273,3.4241515390686645,5.438358326756115
323fb700d903,WMo3Te8,1.501,44.92166468489893,142.6589661319073,21.39310344827586,34.117647058823536
343d2125478e,ISbSe,1.17,41.785618170731674,15.6500017948718,1.336390243902438,35.680586080586096
3995fa1bee6e,Pb2Te6,3.064,260.3441117764472,1.654291417165669,855.1237524950099,7.513373253493011
3bc08d486d65,PbTe,2.18,0.4254620123203288,1.9145790554414797,1.8340862422997959,0.3930184804928134
3e1923c616ad,TiHf3Se8,1.256,31.624354354354338,72.85306122448988,59.13700900900898,12.275294117647064
3fb52099b370,MoCr3S8,1.221,0.1896984676223431,0.9484923381117156,0.6168593178447852,15.678507661888293
40034665f9f1,BiIS,1.254,3.3810388289676454,28.841550963762543,81.05069771186447,5.283609390902085
433f707c632c,BiISe,1.255,0.0,0.0,1.9736309486780708,0.0
449640ec4d30,Mo2W2S8,1.954,26.5945350172216,113.34337543053954,18.61522388059702,99.79522388059692
49b7be14f786,BiBrS,1.293,33.923311485451684,43.04420183767234,19.27240428790195,4.649849923430327
4c49d27e66e5,ISSb,0.907,106.33771915966396,0.6101176442307698,3.654261704681877,1.3171153846153856
4cb4ea247ef4,Ga2P2Te6,3.828,547.3368421052627,51.039999999999985,126.36296567505713,11.793147428571425
4da5c6be60db,BrSSb,2.39,4.964167610419036,0.13789354473386142,4.615066817667053,0.0
4f1ab08988cc,TiZr3Te8,1.679,1236.5447368421053,351.544898918665,19.71947368421063,226.75189844851928
4fd8ad708fb0,AsClTe,2.895,3.8972850678733013,0.2886877828054298,1.864564705882352,0.16950588235294112
52a5e2b280d4,ZrTi3Se8,1.091,74.15655710306399,6.776155988857945,758.991086350974,6.598328690807803
548aa830244c,Cr2W2Se8,1.39,12.343275686673454,86.96398779247203,2.570417090539167,27.35084435401832
5974b6403c31,Cr2W2S8,1.592,9.763046092184368,113.34496240601506,8.336048096192384,557.8047780451127
5b94060698bc,ISSb,2.844,0.0,0.1551399388753059,0.14903304773561793,0.29770171149144303
5c3fe56a1a89,MoW3Te8,2.045,222.6841530054645,3.4602550091074695,36.80024286581664,0.0
5d1a32a28ffa,P2Sb2Se6,2.546,0.28716981132075475,4.307547169811322,1.1173584905660379,3.8176415094339626
5d829e480507,AsISe,1.626,24.1297231690141,0.29824787309048195,19.83267605633804,0.09278495887191543
5e4ff1f56b4a,PbS,1.241,33.31450980392162,0.812549019607844,17.16420588235296,0.03143627450980396
60065d3bbcf2,Cr2Mo2Se8,1.173,3.2457313432835826,27.111402985074616,1.2570746268656723,10.056597014925362
62bb754c4cb2,Cr2W2Te8,1.535,197.41143455497385,0.6737591623036648,57.92104712041888,0.2672251308900524
644f7c1c85c7,CrMo3S8,1.46,35.92425259003456,68.71122408687069,13.569776467686243,48.22343134254688
6523c349753c,WCr3Te8,0.99,196.30534161490684,13.423842568617298,132.42132505175988,7.2687726566545825
671e6de2497a,AsBrTe,0.694,0.2923253150057276,10.974770642201843,0.5491683848797254,6.322678899082573
6e2a4c6f4f57,SeTeW,1.394,105.51380281690143,1.9419718309859146,8.386854460093897,0.0
70cbc0e44d36,BiISe,2.089,19.371317517674786,115.64456985871259,26.218284061272588,26.596148736263693
70e7ab872359,HfZr3Se8,0.95,0.0,0.41183664051684377,0.0,0.715647438855561
72b286460831,Cr2Mo2S8,1.344,199.2308156203656,98.12045454545452,255.09703040039523,684.041578409091
75ee10091f43,STeW,3.947,38.46825433526011,36.17222222222221,0.885086705202312,2.5106481481481473
7a8373382b33,S2Sn2,4.469,41.183086522462524,25.896769358867637,19.36704658901829,2.3494754371357227
7fe9c5cb910c,BiClSe,0.746,0.0,35.27829613928845,0.05981818181818176,6.037062831188498
81af2831dbb2,Hf2Zr2Se8,0.698,84.3695787037038,29.087259259259234,30.323533333333376,16.090899999999984
82b85dfd7723,P2Sb2Te6,2.596,5.337516339869279,0.166797385620915,0.6366535947712418,0.15916339869281046
846b50801a93,Ti2Zr2Se8,1.767,50.81633766233771,1.2693506493506506,488.629090909091,0.2929870129870133
899032b4ad0c,MoCr3Te8,1.409,17.638437821171635,24.720041109969173,20.36136690647482,16.072168550873588
916afba26723,STeW,3.622,1199.9200918484507,364.30291618828926,176.67692307692317,54.936854190585535
961c37d6e527,MoCr3Se8,0.977,1.7740029985007502,0.0,1.1838080959520245,0.0
968a6902b7f5,BiClTe,1.175,5.0890749410840534,173.19271170463477,10.624980361351142,65.45388845247447
988b11badabb,Cr2Mo2Te8,1.105,53.60245901639348,0.0,113.87960040983609,0.09829918032786886
99fd027b1d0b,BiClS,0.461,44.87116696696697,0.6270979744936246,12.69600675675676,0.0
9c2979187585,WMo3S8,1.816,1.2541671404206938,104.51392836839116,2.508948266060262,263.5486526435475
a0dbdc6630fa,PbSe,1.603,5.344444444444444,0.8230387288977158,7.989999999999998,0.1568222442899702
a148361e5e9a,TiZr3Se8,1.321,6.115339805825244,10.11726432532347,56.363495145631084,2.7001109057301274
a1d716aad84d,Mo2W2Se8,1.784,20.653762434172034,1.7211468695143362,14.708180222352258,1.5718665886483327
a7233837cfe9,CrMo3Se8,1.311,124.67889166250627,4.167139291063405,25.38703944083877,0.6307338991512731
a80866a2c6b4,BiClSe,3.032,43.11022055214729,2.403915644171774,46.14073619631906,0.42386503067484566
