uid,Formula,alpha_R,G_total_VBM,G_total_CBM
a9f87eba4b96,CrW3S8,1.909,1.6253151790216849,0.43923348461926365
aa9a981d89aa, ,4.457,0.2690763052208839,0.01124497991967871
acdcd16c0d76,BiIS,1.858,0.012490241998438732,0.8073322932917311
b13beafa16aa,AsIS,2.033,0.09195402298850554,0.003452243958573074
b8fb10416122,ZrHf3Se8,0.725,10.157017137563663,0.10092592592592603
badda86cab42,BiClTe,1.458,0.05585725368502724,0.0
c04fc052f2ca,Mo2W2Te8,1.645,2.3375527426160336,3.499698613622663
c55716558616,HfTi3Se8,1.191,0.09873570138470793,3.0938628158844783
c798e725e2fb,WCr3Se8,1.16,0.027582748244734202,0.4528585757271817
c96ef4fc869c,BiClS,1.181,0.004545454545454557,0.17803030303030287
cce78d90e899,Hf2Ti2Se8,1.409,4.179626280892109,4.918625678119344
cf7927ab6730,Bi2P2Te6,1.814,0.13007456503728249,0.002483443708609271
d59c96fdfda1,SeSn,0.873,0.010407632263660021,0.0008680555555555558
da5fd2bb47af,ClSbTe,2.891,0.36713286713286764,0.41306884480746847
dc4259e69783,WCr3S8,1.317,0.11320754716981143,0.30899155489319413
de5756e4fbfa,BiBrSe,2.784,2.207269914926524,0.9829984544049463
df0019ec24b5,ISbSe,2.431,0.3135068153655523,0.6893564356435645
e688959ea45b,SnTe,0.806,0.0125335720680394,0.09668755595344682
eadd37f03ca5,GeTe,0.952,0.13172690763052225,0.020900321543408353
eef072f845ce,CrW3Te8,1.592,0.2991587802313354,2.751840168243954
f1e78a09001d,BrSbTe,1.315,0.018957345971563927,0.13048635824436564
f4f45fcade85,BiBrTe,0.498,0.0015612802498048415,0.2576112412177984
f705a30af945,ClSbSe,1.483,0.20922384701912214,0.002247191011235956
fba4cc0df459,AsClTe,0.634,0.4191750278706795,0.00222965440356745
