csv,combo,n_features,LOO_R2,KFold_R2,LOO_MAE
desc_E_enhanced_w10.csv,radius_mean + X_diff + radius_diff,5,0.4780433646476434,0.5187212209655447,0.5141411045585015
desc_E_enhanced_w05_w10.csv,Wr + radius_diff,9,0.47785957158619197,0.4159523012523535,0.4833413749078308
desc_E_enhanced_w05.csv,radius_mean + max_mass,4,0.47686001096055486,0.4859376701398651,0.5178125417545588
desc_E_enhanced_w05_w10.csv,radius_mean + max_mass + max_Z,7,0.47651147361173996,0.49113108276728956,0.5124101476621147
desc_E_enhanced_w05_w10.csv,radius_mean + max_mass + max_Z4,7,0.47651147361173996,0.49113108276728956,0.5124101476621147
desc_E_enhanced_w05_w10.csv,radius_mean + max_mass + Wr,10,0.47592556704500244,0.4589583089395498,0.4959129082554519
desc_E_enhanced_w10.csv,Wr + radius_diff,5,0.4751740633161494,0.4036042921603862,0.5022762682269319
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z4 + X_diff,7,0.47292576985502444,0.5053394346368141,0.5037978299603318
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z + X_diff,7,0.47292576985502444,0.5053394346368141,0.5037978299603318
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z4 + max_Z,7,0.4722004930513689,0.48834807345003184,0.5095868803419249
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z + radius_diff,7,0.47152936241740095,0.4605431409458882,0.5101879729309469
desc_E_enhanced_w05_w10.csv,radius_mean + max_Z4 + radius_diff,7,0.47152936241740095,0.4605431409458882,0.5101879729309469
desc_E_enhanced_w10.csv,max_mass + max_Z4 + max_Z,5,0.47067933352657687,0.47573315135147676,0.5160221570718168
desc_E_enhanced_w05_w10.csv,radius_mean + Wr + X_mean,10,0.4705359787465505,0.4572400523495662,0.49182575621267766
desc_E_enhanced_w10.csv,max_mass + radius_diff,4,0.46824252024659674,0.3969836832026026,0.5126513096780488
desc_E_enhanced_w10.csv,radius_mean + X_mean + radius_diff,5,0.46818805808521935,0.46790944817895075,0.5285905165190649
desc_E_enhanced_w05.csv,radius_mean + Wr,5,0.4676304711679089,0.5076581879522705,0.5141511789138872
desc_E_enhanced_w05_w10.csv,radius_mean + X_mean + X_diff,7,0.46744845417967895,0.45633155106632073,0.5086493704632075
desc_E_enhanced_w10.csv,max_mass + Wr + radius_diff,6,0.46721859760306295,0.4068500846201373,0.5136099453983886
desc_E_enhanced_w05_w10.csv,radius_mean + X_mean + radius_diff,7,0.4658963108287796,0.43172455226894935,0.5117843851465168
desc_E_enhanced_w10.csv,Wr + max_Z,5,0.4652796925193563,0.4105303611670559,0.5037063991662228
desc_E_enhanced_w10.csv,Wr + max_Z4,5,0.4652796925193563,0.4105303611670559,0.5037063991662228
desc_E_enhanced_w05.csv,radius_mean + max_Z,4,0.465193334716534,0.49510492386927063,0.5207853568683971
desc_E_enhanced_w05.csv,radius_mean + max_Z4,4,0.465193334716534,0.49510492386927063,0.5207853568683971
desc_E_enhanced_w05.csv,radius_mean + Wr + radius_diff,6,0.46518578082493367,0.49392917046653817,0.5139526535525467
desc_E_enhanced_w10.csv,max_Z4 + radius_diff,4,0.46457553645227156,0.3926738680023669,0.5160816988896841
desc_E_enhanced_w10.csv,max_Z + radius_diff,4,0.46457553645227156,0.3926738680023669,0.5160816988896841
desc_E_enhanced_w10.csv,radius_mean + X_mean + X_diff,5,0.46436041541158335,0.48965603361486365,0.5158882132058192
desc_E_enhanced_w10.csv,max_mass + Wr,5,0.46387106829103975,0.4442443206726605,0.5046510753920584
desc_E_enhanced_w05_w10.csv,max_mass + Wr + radius_diff,10,0.463358763704522,0.40386754658814183,0.49921237876198515
desc_E_enhanced_w05.csv,radius_mean + X_mean,4,0.4624708057048663,0.4806474381308574,0.5205663268301223
desc_E_enhanced_w05_w10.csv,radius_mean + X_mean,6,0.46180147497918433,0.47629258437078636,0.5222031167155565
desc_E_enhanced_w10.csv,max_Z4 + max_Z,4,0.46174086127067426,0.4553864820839175,0.5120741246396846
desc_E_enhanced_w10.csv,max_mass + max_Z4,4,0.4615836122673753,0.45753632926726273,0.5145978882529519
desc_E_enhanced_w10.csv,max_mass + max_Z,4,0.4615836122673753,0.45753632926726273,0.5145978882529519
desc_E_enhanced_w05.csv,radius_mean + max_mass + X_diff,5,0.46153994560333345,0.5080110454693582,0.5030139896219428
desc_E_enhanced_w05_w10.csv,max_mass + max_Z4 + max_Z,7,0.46119236212818415,0.4401378063372893,0.5013780836432872
desc_E_enhanced_w10.csv,max_mass + Wr + max_Z,6,0.4608526943838248,0.4268866859094119,0.5147896809144454
desc_E_enhanced_w10.csv,max_mass + Wr + max_Z4,6,0.4608526943838248,0.4268866859094119,0.5147896809144454
desc_E_enhanced_w05_w10.csv,Wr + X_diff,9,0.4605084045608716,0.4337686118418076,0.4962704050276015
desc_E_enhanced_w10.csv,X_diff + radius_diff,4,0.4599807913888918,0.3779037007849386,0.5189207288038851
desc_E_enhanced_w05.csv,radius_mean + X_diff,4,0.4593685045164918,0.4841918670824965,0.5108761602941186
desc_E_enhanced_w05.csv,radius_mean + X_diff + radius_diff,5,0.4592803248220001,0.5072569491492975,0.5001442015195134
desc_E_enhanced_w05_w10.csv,max_mass + Wr + max_Z4,10,0.4591421634556193,0.43583301387778517,0.5013303503508519
desc_E_enhanced_w05_w10.csv,max_mass + Wr + max_Z,10,0.4591421634556193,0.43583301387778517,0.5013303503508519
desc_E_enhanced_w10.csv,max_mass + X_mean,4,0.45866061924679735,0.41927698514282696,0.5315830577262723
desc_E_enhanced_w05_w10.csv,max_Z4 + max_Z + radius_diff,7,0.4575702666942777,0.40257199226109086,0.5066175995547362
desc_E_enhanced_w05.csv,radius_mean + max_Z + X_diff,5,0.45709583294119405,0.4879054222444049,0.505177522741183
desc_E_enhanced_w05.csv,radius_mean + max_Z4 + X_diff,5,0.45709583294119405,0.4879054222444049,0.505177522741183
desc_E_enhanced_w10.csv,Wr + max_Z + radius_diff,6,0.45667406553857004,0.3936592622316468,0.5202484948755515
desc_E_enhanced_w10.csv,Wr + max_Z4 + radius_diff,6,0.45667406553857004,0.3936592622316468,0.5202484948755515
desc_E_enhanced_w10.csv,max_mass + max_Z4 + radius_diff,5,0.45618348755522586,0.4206350969970676,0.5314700712675999
desc_E_enhanced_w10.csv,max_mass + max_Z + radius_diff,5,0.45618348755522586,0.4206350969970676,0.5314700712675999
desc_E_enhanced_w05_w10.csv,max_mass + max_Z4 + X_mean,7,0.45614970003931476,0.40380781255093845,0.5234069924113727
desc_E_enhanced_w05_w10.csv,max_mass + max_Z + X_mean,7,0.45614970003931476,0.40380781255093845,0.5234069924113727
desc_E_enhanced_w05_w10.csv,Wr + max_Z4 + radius_diff,10,0.4545659862403878,0.38598833728079784,0.49805660891292075
desc_E_enhanced_w05_w10.csv,Wr + max_Z + radius_diff,10,0.4545659862403878,0.38598833728079784,0.49805660891292075
desc_E_enhanced_w05.csv,radius_mean + X_mean + radius_diff,5,0.4544919349749541,0.4606084045273905,0.5174455036539021
desc_E_enhanced_w05_w10.csv,max_mass + X_mean,6,0.4544583707281501,0.40376153128097914,0.5274633141382776
desc_E_enhanced_w05_w10.csv,max_mass + max_Z4 + radius_diff,7,0.4540034934604018,0.40165190105952286,0.5078665299945407
desc_E_enhanced_w05_w10.csv,max_mass + max_Z + radius_diff,7,0.4540034934604018,0.40165190105952286,0.5078665299945407
desc_E_enhanced_w05_w10.csv,radius_mean + max_mass + X_mean,7,0.4538444382371347,0.46278586426962853,0.5175074200533858
desc_E_enhanced_w10.csv,Wr + max_Z4 + max_Z,6,0.45372271015887433,0.4147136505002783,0.5175597103292292
