uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,A_WM_VBM,A_WM_CBM
72b286460831,Cr2Mo2S8,1.344,Mo,Cr,95.94,51.9961,3,62.06652769761668,55.59814194631415
75ee10091f43,STeW,3.947,W,Te,183.84,127.6,3,151.33151043548384,169.76342130438667
7a8373382b33,S2Sn2,4.469,Sn,S,118.71,32.065,2,69.54133928233624,98.23507307711749
7fe9c5cb910c,BiClSe,0.746,Bi,Se,208.9804,78.96,3,85.26745945361913,137.3857200372405
81af2831dbb2,Hf2Zr2Se8,0.698,Hf,Zr,178.49,91.224,3,90.98128700607862,120.70955090904125
82b85dfd7723,P2Sb2Te6,2.596,Te,Sb,127.6,121.76,3,118.67080238330922,103.33789259804229
846b50801a93,Ti2Zr2Se8,1.767,Zr,Se,91.224,78.96,3,75.09209087777792,63.663528450293896
899032b4ad0c,MoCr3Te8,1.409,Te,Mo,127.6,95.94,3,72.56553498314436,66.04588054446813
916afba26723,STeW,3.622,W,Te,183.84,127.6,3,159.5881601477706,150.8746466309151
961c37d6e527,MoCr3Se8,0.977,Mo,Se,95.94,78.96,3,62.57779494181402,57.031805891590345
968a6902b7f5,BiClTe,1.175,Bi,Te,208.9804,127.6,3,131.15170060747798,162.12735012165996
988b11badabb,Cr2Mo2Te8,1.105,Te,Mo,127.6,95.94,3,80.4155106398626,71.74683064629657
99fd027b1d0b,BiClS,0.461,Bi,Cl,208.9804,35.453,3,56.20185311811578,125.79359384195013
9c2979187585,WMo3S8,1.816,W,Mo,183.84,95.94,3,99.11421266171963,93.85226599282525
a0dbdc6630fa,PbSe,1.603,Pb,Se,207.2,78.96,2,107.53612807442983,149.6415381499425
a148361e5e9a,TiZr3Se8,1.321,Zr,Se,91.224,78.96,3,78.01800998944199,73.21339319702074
a1d716aad84d,Mo2W2Se8,1.784,W,Mo,183.84,95.94,3,125.42522072534729,118.65200269170896
a7233837cfe9,CrMo3Se8,1.311,Mo,Se,95.94,78.96,3,79.19090560240635,73.21542516873645
a80866a2c6b4,BiClSe,3.032,Bi,Se,208.9804,78.96,3,95.24787294786083,151.01445267466397
a84d988e38ac,BiITe,0.467,Bi,Te,208.9804,127.6,3,135.30149246059696,167.17789358457276
a9f87eba4b96,CrW3S8,1.909,W,Cr,183.84,51.9961,3,112.90845357065923,91.4298974995493
aa9a981d89aa, ,4.457,Bi,Se,208.9804,78.96,3,88.36527775910551,112.9914132886971
acdcd16c0d76,BiIS,1.858,Bi,I,208.9804,126.90447,3,102.81688537927053,154.058800871947
b13beafa16aa,AsIS,2.033,I,As,126.90447,74.9216,3,90.10574723901303,81.21993652979165
b8fb10416122,ZrHf3Se8,0.725,Hf,Zr,178.49,91.224,3,95.66274865923874,139.22686399510775
badda86cab42,BiClTe,1.458,Bi,Te,208.9804,127.6,3,130.93534610030687,154.72713289948803
c04fc052f2ca,Mo2W2Te8,1.645,W,Te,183.84,127.6,3,134.68395498600324,133.32535689885432
c55716558616,HfTi3Se8,1.191,Hf,Se,178.49,78.96,3,77.40218301586505,64.5388004203401
c798e725e2fb,WCr3Se8,1.16,W,Se,183.84,78.96,3,72.49360304966639,59.12329485372703
c96ef4fc869c,BiClS,1.181,Bi,Cl,208.9804,35.453,3,69.14892223923307,145.63146330662713
cce78d90e899,Hf2Ti2Se8,1.409,Hf,Se,178.49,78.96,3,85.81180441439706,81.50049152520377
cf7927ab6730,Bi2P2Te6,1.814,Bi,Te,208.9804,127.6,3,124.50907530888671,125.03832181505298
d59c96fdfda1,SeSn,0.873,Sn,Se,118.71,78.96,2,92.7063411463871,101.42848022041554
da5fd2bb47af,ClSbTe,2.891,Te,Sb,127.6,121.76,3,100.42691238254743,114.85426454590717
dc4259e69783,WCr3S8,1.317,W,Cr,183.84,51.9961,3,65.13273600625158,52.545075241704616
de5756e4fbfa,BiBrSe,2.784,Bi,Br,208.9804,79.904,3,101.93773026615456,152.61363245105673
df0019ec24b5,ISbSe,2.431,I,Sb,126.90447,121.76,3,107.28419312170513,114.02123744573412
e688959ea45b,SnTe,0.806,Te,Sn,127.6,118.71,2,124.62452124136756,122.4364645319266
eadd37f03ca5,GeTe,0.952,Te,Ge,127.6,72.64,2,107.73168287295665,95.85718426998397
eef072f845ce,CrW3Te8,1.592,W,Te,183.84,127.6,3,129.021973122645,115.28225482688758
f1e78a09001d,BrSbTe,1.315,Te,Sb,127.6,121.76,3,107.50221474550649,115.77073949457542
f4f45fcade85,BiBrTe,0.498,Bi,Te,208.9804,127.6,3,126.10644463131814,159.50394455647952
f705a30af945,ClSbSe,1.483,Sb,Se,121.76,78.96,3,72.93578823933927,91.67710833290612
fba4cc0df459,AsClTe,0.634,Te,As,127.6,74.9216,3,77.05784096958683,84.18425271728029
