uid,Formula,alpha_R,heavy1_el,heavy2_el,heavy1_mass,heavy2_mass,n_elements,A_WM_VBM,A_WM_CBM,B_WMp_VBM,B_WMp_CBM,C_pfrac_h1_VBM,C_pfrac_h1_CBM,C_pfrac_h2_VBM,C_pfrac_h2_CBM,D_wm_h1_VBM,D_wm_h1_CBM,D_wm_h2_VBM,D_wm_h2_CBM,E_pfrac_VBM,E_pfrac_CBM,F_ph1_VBM,F_ph1_CBM,F_ph2_VBM,F_ph2_CBM
3995fa1bee6e,Pb2Te6,3.064,Pb,Te,207.2,127.6,2,139.34618111567548,140.06548567713125,120.99981470306079,118.07746978225335,0.1360893318587982,0.21409280205042847,0.8639106681412018,0.7859071979495715,30.57548652221062,32.447847139467264,108.77069459346487,107.61763853766398,0.8986972744902609,0.8492620158711233,16.46678393797793,25.279536364707415,104.53303076508286,92.79793341754593
3bc08d486d65,PbTe,2.18,Pb,Te,207.2,127.6,2,146.90084875503672,172.08225400869563,133.41803460436722,137.35785034052657,0.2848423940113663,0.6698998061232646,0.7151576059886338,0.3301001938767354,50.240400276929755,115.78797777137854,96.66044847810697,56.29427623731709,0.9311785526870192,0.7994363268899549,38.00311238099927,92.01599731262715,95.41492222336795,45.341853027899425
3e1923c616ad,TiHf3Se8,1.256,Hf,Se,178.49,78.96,3,92.99342480944989,107.31091143887278,67.85762561878407,14.949931035003248,0.13322053121930497,0.3027594158512337,0.8610009473814206,0.6804013872253866,29.617627443108823,74.6362512043732,59.55477516883102,12.248977381015049,0.7987767433307077,0.15944185782909334,9.040028932215131,4.526232387173813,58.42547994482684,10.17195381514007
3fb52099b370,MoCr3S8,1.221,Mo,Cr,95.94,51.9961,3,55.3827052037505,51.28322016490735,5.4528554357139365,3.7809422323253585,0.1028323749017315,0.030565240847946467,0.06339381523203484,0.10342307664781578,13.813382004963355,2.9822011986963037,36.83881361170428,44.95660838740969,0.15428122405671896,0.11084076633416923,0.56073007445028,0.11556540996319695,0.3456773099786461,0.39103667829474925
40034665f9f1,BiIS,1.254,Bi,I,208.9804,126.90447,3,114.3147439984661,142.23375253799117,103.92671558402895,135.03062195406736,0.038491641085213225,0.772549375650349,0.9035901250059302,0.16487866467487752,13.922897588367807,108.96744490067992,94.28652361361296,23.979747467004835,0.9468453737513559,0.9381116900544377,4.000309835425479,104.31782268429305,93.90715392602847,22.263668638004827
433f707c632c,BiISe,1.255,Bi,I,208.9804,126.90447,3,119.11624581008329,151.4701567557716,106.49865046104402,143.14347005190126,0.028066868586885757,0.6900874265301091,0.7615628675771122,0.14696503128730548,15.122060773332972,102.8209381915053,81.38656911525587,22.600637392477985,0.9371497425628621,0.9338553284954838,2.989083627170803,98.78150887270628,81.10541763820522,21.037084554751143
449640ec4d30,Mo2W2S8,1.954,W,Mo,183.84,95.94,3,116.2674951533325,106.98945931871296,8.020443232289832,8.618726578885276,0.1353921159732662,0.17070216654607753,0.08952286330135922,0.09068530199839549,69.16851576050095,50.582735678870435,40.701407836333544,49.812591456332065,0.20726338805496444,0.21468056786782738,1.085904780263183,1.4712352998839795,0.7180130431005943,0.7815918226478092
49b7be14f786,BiBrS,1.293,Bi,Br,208.9804,79.904,3,78.55637643345196,148.28462199320896,46.57232883290124,142.96996534758748,0.1401188142264372,0.8822301481133058,0.501529835121864,0.08022658445934026,38.303680778595776,127.50854384935454,23.49206301469331,13.822157507025938,0.8440266668986302,0.9145043455561068,6.525659491829835,126.1324137043563,23.357412400806194,11.469992000107178
4c49d27e66e5,ISSb,0.907,I,Sb,126.90447,121.76,3,104.8350447574946,96.72559940768829,94.0426499166405,89.84402786991095,0.8945377156442328,0.24502714786153387,0.030286375315552866,0.662597052283363,84.51066399156173,24.43088356532092,13.049166843446715,62.99113520650184,0.9067714092588202,0.9212175840416547,84.12469722956189,22.01422590135644,2.8482109910445206,59.530388031867304
4cb4ea247ef4,Ga2P2Te6,3.828,Te,Ga,127.6,69.723,3,111.39450132576447,101.51737279794347,93.92282174053817,80.55647017454552,0.9753817450274498,0.9595980249489618,0.011512674675601494,0.025796115352490403,96.1061100280117,84.1944238696921,13.753299330548549,12.211449764991348,0.7732005190484386,0.6736048722630876,91.61060576718822,77.30182967635383,1.0813028913133271,2.078043997012029
