uid,Formula,alpha_R,E_pfrac_VBM_w05,E_pfrac_CBM_w05,max_mass,max_Z,max_Z4,X_diff,X_mean,radius_diff,radius_mean,WM_VBM_w05,WZ4_VBM_w05,pZ4_VBM_w05,Wr_VBM_w05,WX_VBM_w05,WM_CBM_w05,WZ4_CBM_w05,pZ4_CBM_w05,Wr_CBM_w05,WX_CBM_w05,E_pfrac_VBM_w10,E_pfrac_CBM_w10,WM_VBM_w10,WZ4_VBM_w10,pZ4_VBM_w10,Wr_VBM_w10,WX_VBM_w10,WM_CBM_w10,WZ4_CBM_w10,pZ4_CBM_w10,Wr_CBM_w10,WX_CBM_w10
1667d1443160,TiHf3Te8,1.512,0.7339049009536139,0.1989750143614171,178.49,72,26873856,0.8,1.6466666666666665,0.1500000000000001,1.45,130.22090555565018,10809853.392528292,6591679.251669842,1.4325581286118914,1.867184284161048,117.40807887483945,12754899.15034629,2233307.3283374966,1.463289313169258,1.540067643888491,0.7032942480989642,0.1550792284914078,129.47753905242502,10798100.242782988,6073702.011389434,1.4330988084987657,1.857791325035374,115.95100773906256,12672229.97640735,1497268.1679694154,1.4637545668948746,1.5262440223496845
18e377cce57f,Ti2Zr2Te8,1.855,0.6747220967013103,0.1659753560958995,127.6,52,7311616,0.77,1.656666666666667,0.1500000000000001,1.45,105.8577372797108,5190245.361482151,4733302.027076366,1.4188594667871666,1.8826046091278807,72.1895373733442,2028715.0445560813,1101467.9688119593,1.4359039544586492,1.5876736689737383,0.6431649598769135,0.1240123504437783,104.33684509594956,5037695.018741045,4530789.509757284,1.4205883307807947,1.8659925329418656,70.52919093647664,1835060.507339872,855212.7134374136,1.4404624538995343,1.5603762055240724
18e62ba75259,BrSbTe,2.631,0.8258113168339318,0.8070173166426109,127.6,52,7311616,0.91,2.37,0.3,1.3333333333333333,110.38316619583053,5257152.94832374,4139599.0884205066,1.330817114220896,2.369861866045086,118.6116201635047,6311376.880096489,5150453.538681436,1.399199522843228,2.172845110125038,0.83517716605127,0.8451200771706139,110.11322497028806,5221170.979170985,4141154.405569656,1.3278915255747523,2.377639546964448,118.020408357902,6236102.010968692,5321917.563618869,1.3945161377004582,2.186557846938502
1a3bdd1b142a,HgTe,0.618,0.7321670047329278,0.6637727192518088,200.59,80,40960000,0.1,2.05,0.1,1.45,153.22006370436105,19122463.261663288,9300582.014874917,1.4351007860040568,2.0648992139959432,154.3308004235045,19634512.79788248,8012054.885053821,1.4366225516146112,2.0633774483853893,0.8163718961430929,0.6004465462984125,147.0883146890586,16295727.469657265,9454238.90304664,1.4266999790232342,2.0733000209767662,156.40924192612647,20592674.159737,7165822.517044356,1.4394701218333013,2.060529878166699
1a3be826b3e0,AsClSe,3.717,0.830448038176034,0.7921974168922818,78.96,34,1336336,0.98,2.6300000000000003,0.1499999999999999,1.1,63.53652649522799,884145.8777836692,691342.0196712619,1.1001126723223753,2.6654856839872747,69.76990069681773,1050743.9683547115,841788.3500066577,1.126865207935733,2.416869202432205,0.8229245148495816,0.8258043654001617,62.39472886925788,851477.894859817,647236.4482817848,1.096090030664226,2.684130922848452,70.02971972837508,1058749.426839127,876073.3076960386,1.1275472918350848,2.419774292643492
1dcd471c2288,AsBrS,3.109,0.8171667500528035,0.8395957836840761,79.904,35,1500625,0.7799999999999998,2.5733333333333333,0.1499999999999999,1.1,56.63695777846068,770094.1733882541,558456.4099642946,1.0801240282906586,2.6292897674499898,71.02255489957652,1133458.0353970134,1024725.7596377698,1.1316762564848193,2.438053710749797,0.81239137651136,0.8750866369111423,58.17774135018495,814854.7413824105,599686.7850538457,1.0850932461063247,2.634985117706222,68.76495509524416,1067387.7498643612,989846.3106431024,1.124441149725762,2.427531767907266
20f098bd3f31,O2Pb2,1.914,0.8351683575552248,0.9201926519623644,207.2,82,45212176,1.11,2.885,1.2000000000000002,1.2,69.33283369226793,12614423.253338872,5439615.324332029,0.9347276129401346,3.130376958030375,137.07265107436612,28631041.838193137,25126201.71018241,1.3598715761835445,2.7371187920302216,0.8829775241595053,0.8990904811171163,55.05424966214527,9238349.281183409,4185251.073903967,0.8451133500343321,3.213270151218243,133.9849494551926,27900975.814259496,23444151.00383351,1.3404927565406757,2.755044200199875
211bcb7f05d6,GeSe,0.94,0.918841337993551,0.7270089984537553,78.96,34,1336336,0.54,2.28,0.1,1.2,77.00364031456328,1247259.724196002,1160177.4443201558,1.180955058313872,2.382842685105091,75.2439172614832,1167136.6378424694,842950.1634230106,1.2087987775081772,2.232486601455843,0.9034063151276184,0.7457842356027244,77.00756820320133,1247438.5674293062,1143747.007423126,1.1808929081771942,2.383178295843152,75.38678554840199,1173641.6660455945,872994.0420370713,1.2065382033480696,2.244693701920423
24d6cc0a0fed,MoW3Se8,2.097,0.1830422890805806,0.1843965460991365,183.84,74,29986576,0.3899999999999997,2.3566666666666665,0.3,1.3166666666666669,144.77904691773617,18650907.4454029,497909.8674521355,1.337702503681885,2.347282768777614,133.32727798681947,15245815.818169951,452661.4743893686,1.341737172934293,2.3332988233247054,0.2110720286877839,0.1880903063476812,142.51090363719686,18086367.370361317,574999.5217712864,1.328231418965292,2.358299266211551,138.78531312074531,16907660.556538194,544308.8026123855,1.3361742274208266,2.3448498364329904
287dcf4f1a19,Bi2P2S6,1.406,0.8490174010908147,0.9024798032699964,208.9804,83,47458321,0.56,2.263333333333333,0.6000000000000001,1.2,48.671716607025374,4568638.087146135,3095018.8804973606,1.057047008916977,2.450235802095057,115.2132957714946,22372843.936313324,21676677.36250393,1.282436579387091,2.2696915128344903,0.8599441662300487,0.9027750754848928,52.95233155625633,5698684.658696961,3155652.734342802,1.0713422359118323,2.460316582260972,116.56600387301056,22730423.124872416,22072819.69465673,1.2869603281250035,2.272202643141489
