n_atoms,a,b,c,gamma,vac_axis,slab_thick,vacuum,inplane_min,inplane_max,min_bond,avg_nbr_4A,avg_nbr_5A,avg_nbr_6A,avg_nbr_7A,avg_nbr_8A,Formula,uid
12,6.321,5.47,18.164,90.0,2,3.164,15.0,5.47,6.321,2.336,13.67,18.67,32.67,52.0,58.67,CrW3S8,a9f87eba4b96
10,7.202,7.21,18.412,120.0,2,3.348,15.063,7.202,7.21,2.241,5.6,15.2,19.4,29.6,40.4, ,aa9a981d89aa
3,4.193,4.193,19.5,120.0,2,3.515,15.985,4.193,4.193,2.763,4.0,12.0,18.0,26.0,36.0,BiIS,acdcd16c0d76
3,3.844,3.844,19.5,120.0,2,3.24,16.26,3.844,3.844,2.537,12.0,16.0,22.0,36.0,42.0,AsIS,b13beafa16aa
12,7.365,6.379,18.428,90.0,2,3.428,15.0,6.379,7.365,2.667,10.67,16.67,26.67,32.67,50.67,ZrHf3Se8,b8fb10416122
3,4.181,4.181,18.232,120.0,2,3.69,14.542,4.181,4.181,3.026,4.67,10.67,18.67,26.67,32.67,BiClTe,badda86cab42
12,7.1,6.148,18.617,90.0,2,3.617,15.0,6.148,7.1,2.73,10.67,14.67,26.67,32.67,54.67,Mo2W2Te8,c04fc052f2ca
12,7.093,6.132,18.335,90.0,2,3.335,15.0,6.132,7.093,2.564,10.67,18.67,26.67,36.5,54.67,HfTi3Se8,c55716558616
12,6.492,5.618,18.233,90.0,2,3.233,15.0,5.618,6.492,2.432,10.67,18.67,32.67,50.67,58.67,WCr3Se8,c798e725e2fb
3,4.068,4.068,19.5,120.0,2,3.186,16.314,4.068,4.068,2.746,6.0,14.0,18.0,30.0,36.0,BiClS,c96ef4fc869c
12,7.193,6.215,18.419,90.0,2,3.419,15.0,6.215,7.193,2.553,10.67,18.67,26.67,33.33,54.67,Hf2Ti2Se8,cce78d90e899
10,7.697,7.711,18.412,119.9,2,3.581,14.831,7.697,7.711,2.308,5.0,13.4,17.6,24.8,38.0,Bi2P2Te6,cf7927ab6730
2,3.907,3.907,16.555,120.0,2,1.559,14.996,3.907,3.907,2.742,9.0,12.0,12.0,24.0,30.0,SeSn,d59c96fdfda1
3,4.195,4.195,19.5,120.0,2,3.32,16.18,4.195,4.195,2.893,4.0,12.0,18.0,26.0,36.0,ClSbTe,da5fd2bb47af
12,6.181,5.347,18.023,90.0,2,3.023,15.0,5.347,6.181,2.296,14.67,24.67,32.67,54.67,66.67,WCr3S8,dc4259e69783
3,4.189,4.189,19.5,120.0,2,3.461,16.039,4.189,4.189,2.872,4.0,12.0,18.0,26.0,36.0,BiBrSe,de5756e4fbfa
3,4.168,4.168,19.5,120.0,2,3.577,15.923,4.168,4.168,2.818,4.0,12.0,18.0,26.0,36.0,ISbSe,df0019ec24b5
2,4.173,4.173,16.68,120.0,2,1.686,14.993,4.173,4.173,2.941,3.0,9.0,12.0,18.0,24.0,SnTe,e688959ea45b
2,3.943,3.943,16.554,120.0,2,1.56,14.994,3.943,3.943,2.76,9.0,12.0,12.0,24.0,30.0,GeTe,eadd37f03ca5
12,7.073,6.124,18.716,90.0,2,3.716,15.0,6.124,7.073,2.653,10.67,15.67,26.67,32.67,54.67,CrW3Te8,eef072f845ce
3,4.111,4.111,18.232,120.0,2,3.817,14.416,4.111,4.111,2.993,4.67,10.67,18.67,26.67,32.67,BrSbTe,f1e78a09001d
3,4.222,4.222,18.232,120.0,2,3.854,14.379,4.222,4.222,3.059,4.67,10.67,18.67,26.67,32.67,BiBrTe,f4f45fcade85
3,3.918,3.918,18.232,120.0,2,3.527,14.706,3.918,3.918,2.805,10.67,14.67,18.67,32.67,42.67,ClSbSe,f705a30af945
3,3.823,3.823,18.232,120.0,2,3.478,14.754,3.823,3.823,2.793,10.67,14.67,18.67,32.67,42.67,AsClTe,fba4cc0df459
