Formula,uid,Rashba_parameter,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,ehull
TiHf3Se8,3e1923c616ad,1.256,0.7987767433307077,0.1594418578290933,1.3666666666666665,0.9230429099485018,-130.86288740334143,0.166
MoCr3S8,3fb52099b370,1.221,0.1542812240567189,0.1108407663341692,1.2833333333333332,3.857342355269868,180.0,0.011
BiIS,40034665f9f1,1.254,0.946845373751356,0.9381116900544376,1.3333333333333333,0.007500126553475,60.00000001923997,0.14
BiISe,433f707c632c,1.255,0.937149742562862,0.9338553284954838,1.3833333333333335,0.0059162551830455,59.9999999840954,0.114
Mo2W2S8,449640ec4d30,1.954,0.2072633880549644,0.2146805678678273,1.2666666666666666,3.1563783751913133,180.0,0.0
BiBrS,49b7be14f786,1.293,0.8440266668986302,0.9145043455561068,1.25,0.0011259988292006,60.00000000111791,0.0
ISSb,4c49d27e66e5,0.907,0.9067714092588202,0.9212175840416548,1.2833333333333334,0.0086849318837883,59.99999995624205,0.185
Ga2P2Te6,4cb4ea247ef4,3.828,0.7732005190484386,0.6736048722630876,1.2333333333333334,1.026507869199079,-149.99867077296796,0.173
BrSSb,4da5c6be60db,2.39,0.7806803560540508,0.8606994436980863,1.2,0.0029502106564928,120.0000000338442,0.028
TiZr3Te8,4f1ab08988cc,1.679,0.6849715466889554,0.1347440193725061,1.45,0.4312365072138929,-130.83623677816092,0.115
AsClTe,4fd8ad708fb0,2.895,0.8748022705579596,0.850388063665775,1.1833333333333331,0.0035557579678532,-150.0000000286525,0.018
ZrTi3Se8,52a5e2b280d4,1.091,0.7405566209593908,0.1154653629793862,1.3666666666666665,1.604193444789698,180.0,0.131
Cr2W2Se8,548aa830244c,1.39,0.1687729940064901,0.1398028194256778,1.3,2.771791624354439,180.0,0.015
Cr2W2S8,5974b6403c31,1.592,0.1681267075821846,0.157123881369535,1.25,3.603055858591344,180.0,0.014
ISSb,5b94060698bc,2.844,0.8378311435722494,0.881194264676874,1.2833333333333334,0.0015724099342213,119.99999995640523,0.041
MoW3Te8,5c3fe56a1a89,2.045,0.2850819868146655,0.1412364257262718,1.3999999999999997,1.3576580767550253,180.0,0.018
P2Sb2Se6,5d1a32a28ffa,2.546,0.8096352520917903,0.8238161694562693,1.2,1.0938007335282762,-150.05171859821505,0.058
