Formula,uid,Rashba_parameter,pmid_grdf_trig_max,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean
BiClTe,968a6902b7f5,1.175,-1.4805482147981084,0.901195181671016,0.9106283567992832,1.3333333333333333,0.1703630846964617,0.5,0.2374837011916042
Cr2Mo2Te8,988b11badabb,1.105,-6.07740240612844,0.2124826412893839,0.1041993926048926,1.4166666666666667,0.8314531727000525,0.5,7.673742435985567
BiClS,99fd027b1d0b,0.461,-1.87593975146013,0.909282666768928,0.9372956282273632,1.2,0.1841178812524295,0.5,0.4486568384337214
WMo3S8,9c2979187585,1.816,-7.620831497352341,0.2052901218121179,0.207664962128622,1.2666666666666666,1.065715387338479,0.5,11.685640152019875
PbSe,a0dbdc6630fa,1.603,-0.9480257641880072,0.9241098190833938,0.7879851211433209,1.475,0.0,0.5,0.0
TiZr3Se8,a148361e5e9a,1.321,-4.2838574687819655,0.8026965681371502,0.1449765152582613,1.3666666666666665,0.7903186541868259,0.5,4.229977139576812
Mo2W2Se8,a1d716aad84d,1.784,-6.91151139312337,0.2050796246622059,0.1834049364521039,1.3166666666666669,0.9812359199975994,0.5,9.782485602669793
CrMo3Se8,a7233837cfe9,1.311,-6.484813107670166,0.2003083671083162,0.1477262102974496,1.3333333333333333,1.0839123482926758,0.0,7.811612346956362
BiClSe,a80866a2c6b4,3.032,-1.5649367566501076,0.8702984144182764,0.9014430142409324,1.25,0.2033679845892337,0.5,0.2795220933777013
BiITe,a84d988e38ac,0.467,-1.5876488921019578,0.934812594962855,0.9417767775687268,1.4666666666666668,0.1221974304869961,0.5,0.3183761086343161
CrW3S8,a9f87eba4b96,1.909,-7.718560393486372,0.1919601306899144,0.1713770613500185,1.25,1.0395119839051776,0.5,12.270032349970151
 ,aa9a981d89aa,4.457,-6.039153019966498,0.8340700960545168,0.8638507706444664,1.25,0.7466643352366868,0.0,8.838779556181738
BiIS,acdcd16c0d76,1.858,-1.3587895036116344,0.903623557863302,0.9238137730702656,1.3333333333333333,0.2288332531824506,0.0,0.1950883829323272
AsIS,b13beafa16aa,2.033,-1.529546443959513,0.8936670822854337,0.8952076420903963,1.1833333333333331,0.2961298420365916,0.5,0.3029748718025207
ZrHf3Se8,b8fb10416122,0.725,-4.72816793369376,0.8326247051860165,0.2009389569933805,1.4166666666666667,0.9328543989538453,0.5,3.984786763636007
BiClTe,badda86cab42,1.458,-1.8466459590889528,0.9359477403697092,0.9378360161127248,1.3333333333333333,0.1334874983074083,0.5,0.430157396871361
Mo2W2Te8,c04fc052f2ca,1.645,-5.595967636034228,0.2958079752151466,0.1399480237647956,1.3999999999999997,0.7931919810881806,0.5,6.593071574646243
HfTi3Se8,c55716558616,1.191,-5.518753232956513,0.7409042099373613,0.1172884570017979,1.3666666666666665,1.0140266315884252,0.5,5.876032637975886
WCr3Se8,c798e725e2fb,1.16,-7.421360918326534,0.1467562156481204,0.1196259650218804,1.3,1.004490516712149,0.5,11.370087531653809
BiClS,c96ef4fc869c,1.181,-1.6073981053740565,0.8399466536166024,0.9094579449330604,1.2,0.2318844672622285,0.0,0.3115213389640824
Hf2Ti2Se8,cce78d90e899,1.409,-4.508031065370729,0.7652933296496389,0.1370649042205264,1.3666666666666665,0.8343687160649991,0.5,4.664718889794795
Bi2P2Te6,cf7927ab6730,1.814,-5.299368183687756,0.8519428236956959,0.8422307722599669,1.3333333333333333,0.7234511667555168,0.0,6.017240224129855
SeSn,d59c96fdfda1,0.873,-0.9211098744428414,0.8617318463089176,0.772294966413053,1.2999999999999998,0.0,0.5,0.0
ClSbTe,da5fd2bb47af,2.891,-1.536200247079298,0.8418724917890628,0.8448925848104843,1.2833333333333332,0.1927910883603821,0.5,0.2653805638185014
WCr3S8,dc4259e69783,1.317,-8.030008719758085,0.134076482189789,0.1114644811375034,1.25,1.0595060677777148,0.5,12.986300689651614
BiBrSe,de5756e4fbfa,2.784,-1.4344881772579616,0.8708858861095728,0.9086603729103896,1.3,0.190955675890306,0.0,0.2167112027710686
ISbSe,df0019ec24b5,2.431,-1.3390300966537332,0.8444249438246081,0.8702194028528185,1.3333333333333333,0.2072723374753904,0.5,0.1742269896355249
SnTe,e688959ea45b,0.806,-0.979869903702334,0.9092975411969436,0.7702073113614514,1.4249999999999998,0.0,0.5,0.0
GeTe,eadd37f03ca5,0.952,-0.9280087176869792,0.9154990873691008,0.7472070142516989,1.325,0.0,0.5,0.0
CrW3Te8,eef072f845ce,1.592,-5.531289037505022,0.2267102691969866,0.1224285422660796,1.3833333333333335,0.8122606515422308,0.5,7.127748007355446
BrSbTe,f1e78a09001d,1.315,-1.7697417410307712,0.882771812071691,0.9164275283284804,1.3333333333333333,0.1441154363023931,0.5,0.394975932164701
BiBrTe,f4f45fcade85,0.498,-1.7534460616403398,0.9275593381609089,0.9381112972308486,1.3833333333333335,0.1261244151549382,0.5,0.3890483201319814
ClSbSe,f705a30af945,1.483,-1.870737190635677,0.8438826392372596,0.9143032462366278,1.2,0.1810879287775363,0.5,0.4404205423309886
AsClTe,fba4cc0df459,0.634,-1.8837798887421169,0.9271260695172412,0.9136992993085054,1.1833333333333331,0.1919937581557476,0.0,0.4378311102821758
