bs_m_eff_VBM,bs_m_eff_CBM,bs_m_eff_ratio,bs_VBM_kdist_to_gamma,bs_CBM_kdist_to_gamma,bs_VBM_at_gamma,bs_CBM_at_gamma,bs_band_gap_at_VBM_kpt,bs_band_gap_at_CBM_kpt,bs_VBM_curvature,bs_CBM_curvature,uid
-1.1141468008647382,0.09615163189853485,0.08630068481452116,0.12376285636276244,0.0,0,1,1.9185,1.7376,-1.7098285419133692,19.812456246299323,a0dbdc6630fa
-1.1568333492633056,0.6842824808778896,0.5915134460064227,0.39673945656034215,0.21911594234532933,0,0,1.0799999999999998,0.8139000000000003,-1.6467367587674937,2.7839379981729326,a148361e5e9a
-0.2370684062649449,0.2528524285253931,1.0665800327809525,0.3190519122264578,0.30805002427160116,0,0,1.2892000000000001,1.289,-8.035655319971207,7.534038771586043,a1d716aad84d
-0.3471212178988249,0.6845853056293765,1.9721793723047836,0.32133774078559113,0.35457987177724487,0,0,0.974,0.9782,-5.4879964167308515,2.782706529537075,a7233837cfe9
-0.5857451996712619,0.11471265745808326,0.19584054213754293,0.24946083659386728,0.03804127726233423,0,1,1.6334999999999997,1.3472,-3.252267369957354,16.60671143196294,a80866a2c6b4
-0.12105775502306437,0.11996888038560807,0.9910053293384729,0.0,0.03781248568536724,1,1,0.7154999999999999,0.7134999999999999,-15.73629049735023,15.879117933558136,a84d988e38ac
-0.23801261040050964,0.49410412433760825,2.0759577549532655,0.3313127293879424,0.36444469808416413,0,0,1.149,1.1519,-8.003777601507794,3.8554626568920605,a9f87eba4b96
-0.13598993854436933,0.16225132076765497,1.1931126854264837,0.25144758572661846,0.22749971766201532,0,0,0.8828999999999998,0.8814999999999997,-14.00838929990734,11.7410446398028,aa9a981d89aa
-0.17621082706135063,0.22918492966780005,1.3006291014570042,0.0,0.08633401196724666,1,0,1.2098,1.2186000000000001,-10.8109134482227,8.31206485854575,acdcd16c0d76
-0.14244450176177206,0.15356985213877336,1.078103052342502,0.0,0.04953711504405259,1,1,1.4284,1.4308,-13.3736295640668,12.404778499614281,b13beafa16aa
-1.3624147191908738,0.6661902810289726,0.4889776010527963,0.35921262839859885,0.18830863076860355,0,0,1.2868000000000002,0.9263999999999997,-1.3982526562333113,2.8595433680863795,b8fb10416122
-0.10296363843452933,0.11954551819940994,1.1610459771720714,0.0,0.024734579709550987,1,1,0.9531999999999998,0.9589000000000001,-18.50167718394409,15.935352731687795,badda86cab42
-0.22406126928860506,0.2583503289686616,1.1530343007915842,0.2986866028390106,0.2876241360671954,0,0,0.8809,0.8805999999999999,-8.502138750031982,7.373708435382252,c04fc052f2ca
-0.8494361698777476,0.899909079341839,1.0594193080703822,0.0,0.20492967446728605,1,0,0.6172999999999997,0.6638999999999999,-2.2426640959663526,2.116880520189049,c55716558616
-0.39738808316072566,0.6887324198177586,1.7331481466171625,0.3189244723454999,0.3409199977137153,0,0,0.6999,0.6987000000000001,-4.793802533906164,2.765950818031872,c798e725e2fb
-0.8670636319992201,0.16084002056684613,0.1854996734161153,0.34734678058338775,0.04962008611197457,0,1,1.9855000000000003,1.5955999999999997,-2.197070583628992,11.844067125123688,c96ef4fc869c
-0.3697466340684287,2.1436995862879575,5.797752808998458,0.5596877897862784,0.5195868723707783,0,0,0.6734,0.73,-5.152176719064989,0.8886506356511964,cce78d90e899
-0.10095154785553483,0.11247211609201663,1.1141197780639098,0.21701145582407752,0.19289907184362445,0,0,0.5226999999999999,0.5155,-18.8704387447939,16.937531418378093,cf7927ab6730
-0.7618270786498769,0.4894060500734355,0.6424109404732231,0.4683074893469775,0.7122993900719775,0,0,2.9748,2.5497,-2.500567456037496,3.8924733352073484,d59c96fdfda1
-0.6301094706971463,0.07655860963505287,0.12150049030424706,0.3452065428531606,0.0,0,1,2.0613,1.5485000000000002,-3.0232841888447237,24.882897025964056,da5fd2bb47af
-0.37862037839457613,0.726275293115298,1.9182150104937463,0.3425349596345449,0.3646338253280766,0,0,0.8886,0.8907,-5.031424901315586,2.6229723330235557,dc4259e69783
-0.4148306677549508,0.12357595276235629,0.29789493007145557,0.25927466337836774,0.0493857930325308,0,1,1.4815,1.2826,-4.592235213249285,15.41562057517311,de5756e4fbfa
-0.47282910653956,0.1399060120206914,0.29589128521424035,0.3474155574043401,0.05045758230611727,0,0,1.5413,1.5336999999999998,-4.028939787446472,13.616284050168339,df0019ec24b5
-0.09996419461616575,0.29709536428645783,2.972017785240206,0.0,0.5669667722747833,1,0,1.7998000000000003,2.2218999999999998,-19.056823368753797,6.412082546542896,e688959ea45b
-0.08705047659201184,0.25209141320210077,2.895922263396704,0.0,0.5670637427492898,1,0,1.7012,2.2556,-21.88385491475657,7.5567825805822615,eadd37f03ca5
-0.2281269214728089,0.3261649373123449,1.4297520661156224,0.2998285294834269,0.3220380501859029,0,0,0.5652999999999999,0.5667,-8.350614595161064,5.8406032717603775,eef072f845ce
-0.39096148498718664,0.3248165269322862,0.8308146439103374,0.33551049904991076,1.0189576987117233,0,0,1.6088,1.9170000000000003,-4.872602732370004,5.8648493597037055,f1e78a09001d
-0.11928358895447698,0.11747376898413314,0.9848275862068961,0.0,0.025272193877428704,1,1,0.9271000000000003,0.9263999999999999,-15.970344426231327,16.216386147083636,f4f45fcade85
-0.49062119655351605,2.0107203049031694,4.098315195160639,0.3853535535868088,0.8243600292380062,0,0,2.0834,2.4665,-3.882832648450822,0.9474216753840059,f705a30af945
-0.17942198684272118,0.3231049375819203,1.8008101641698442,0.0,1.095820877507417,1,0,1.7548,2.0919,-10.617427849965214,5.895917327221298,fba4cc0df459
