janus_z_range,janus_z_std,janus_n_layers,janus_z_dipole_Z,janus_z_dipole_X,janus_z_dipole_mass,janus_z_dipole_Z_abs,janus_z_dipole_X_abs,janus_z_dipole_mass_abs,janus_top_bot_meanZ,janus_top_bot_meanX,janus_top_bot_meanZ_abs,janus_top_bot_meanX_abs,uid
3.0211332000000004,1.221452321325776,3,-6.109724515888295e-06,-7.041663065010873e-06,-6.992741138698559e-06,6.109724515888295e-06,7.041663065010873e-06,6.992741138698559e-06,-4.399999999999999,0.1388571428571428,4.399999999999999,0.1388571428571428,3fb52099b370
3.7833839800000018,1.5569234173486703,3,-0.3721154778070163,-0.04373177564738182,-0.3901237290781898,0.3721154778070163,0.04373177564738182,0.3901237290781898,-3.5,-0.3600000000000003,3.5,0.3600000000000003,40034665f9f1
3.90263985,1.6007945750160055,3,-0.1670658698039218,-0.047455942323651426,-0.16938302694506494,0.1670658698039218,0.047455942323651426,0.16938302694506494,5.5,-0.375,5.5,0.375,433f707c632c
3.1341132,1.2792344365365715,3,-1.9043777777522702e-05,-1.0697416887915389e-06,-2.2899938935485828e-05,1.9043777777522702e-05,1.0697416887915389e-06,2.2899938935485828e-05,-15.085714285714285,0.038857142857143145,15.085714285714285,0.038857142857143145,449640ec4d30
3.3519247599999993,1.3748474522363916,3,-0.1570403603482583,-0.10287482333333269,-0.16027470540527947,0.1570403603482583,0.10287482333333269,0.16027470540527947,14.5,-0.6600000000000001,14.5,0.6600000000000001,49b7be14f786
3.74108616,1.5392569184309013,3,-0.5395032952499992,-0.041707985432098305,-0.5911361322977602,0.5395032952499992,0.041707985432098305,0.5911361322977602,-19.5,-0.3450000000000002,19.5,0.3450000000000002,4c49d27e66e5
3.76752556,1.5454167316956218,5,0.006170374133664071,-0.0008492910339799624,0.006627090702943738,0.006170374133664071,0.0008492910339799624,0.006627090702943738,0.0,0.0,0.0,0.0,4cb4ea247ef4
3.3132016600000007,1.35891854904674,3,-0.2623375758823535,-0.10048665594202881,-0.287011851738581,0.2623375758823535,0.10048665594202881,0.287011851738581,-1.5,-0.645,1.5,0.645,4da5c6be60db
3.765035,1.5051575212304114,3,0.0001757551254487522,-3.594975966487957e-05,0.00017806955562468175,0.0001757551254487522,3.594975966487957e-05,0.00017806955562468175,0.8571428571428541,-0.2180000000000002,0.8571428571428541,0.2180000000000002,4f1ab08988cc
3.150898849999999,1.2865182027786783,3,0.5410292313725488,-0.22267484852150538,0.6108542269263608,0.5410292313725488,0.22267484852150538,0.6108542269263608,27.0,-0.5699999999999998,27.0,0.5699999999999998,4fd8ad708fb0
3.342918600000001,1.3370587631473858,3,-0.000221505238095868,6.208710056855247e-05,-0.00023130339221419217,0.000221505238095868,6.208710056855247e-05,0.00023130339221419217,0.17142857142857437,0.2608571428571427,0.17142857142857437,0.2608571428571427,52a5e2b280d4
3.3058071999999985,1.3264031575878221,3,0.00014322115384715972,3.1703498594470735e-05,0.00016016117898233232,0.00014322115384715972,3.1703498594470735e-05,0.00016016117898233232,16.666666666666668,0.2333333333333334,16.666666666666668,0.2333333333333334,548aa830244c
3.0958487000000012,1.2428371501041786,3,-5.611327161104122e-06,1.869675731530467e-06,-6.4609934702339055e-06,5.611327161104122e-06,1.869675731530467e-06,6.4609934702339055e-06,-16.114285714285714,0.010285714285714231,16.114285714285714,0.010285714285714231,5974b6403c31
3.4508757200000018,1.4226003000124017,3,-0.4935914105000014,-0.04078156016460989,-0.5408323039421369,0.4935914105000014,0.04078156016460989,0.5408323039421369,-19.5,-0.3450000000000002,19.5,0.3450000000000002,5b94060698bc
3.621625299999998,1.4775094512966063,3,2.833843137980473e-06,1.003256529022142e-06,2.884139483384077e-06,2.833843137980473e-06,1.003256529022142e-06,2.884139483384077e-06,0.4571428571428555,0.03085714285714225,0.4571428571428555,0.03085714285714225,5c3fe56a1a89
3.282650369999999,1.3782392359973485,4,-0.03680050355952344,-0.006302543880571462,-0.040058895663985086,0.03680050355952344,0.006302543880571462,0.040058895663985086,-7.25,0.13666666666666627,7.25,0.13666666666666627,5d1a32a28ffa
3.349527890000001,1.3749563930117965,3,-0.2829382281666656,-0.03660652280559201,-0.30622372281354726,0.2829382281666656,0.03660652280559201,0.30622372281354726,-19.5,-0.29499999999999993,19.5,0.29499999999999993,5d829e480507
1.4391638800000006,0.7195819400000004,2,0.4846164085714297,-0.03663859164969361,0.526712987950182,0.4846164085714297,0.03663859164969361,0.526712987950182,66.0,-0.25,66.0,0.25,5e4ff1f56b4a
3.3028154,1.3235372738883917,3,1.4962277227656775e-05,-3.2743937236690696e-07,1.5114456646123868e-05,1.4962277227656775e-05,3.2743937236690696e-07,1.5114456646123868e-05,2.857142857142854,-0.060571428571428054,2.857142857142854,0.060571428571428054,60065d3bbcf2
3.5880332,1.4343467549869933,3,4.458282679641345e-05,1.4216292269527218e-05,4.749278066584436e-05,4.458282679641345e-05,1.4216292269527218e-05,4.749278066584436e-05,7.885714285714286,0.09942857142857164,7.885714285714286,0.09942857142857164,62bb754c4cb2
3.1577258000000015,1.2579190950052033,3,-4.499976017457038e-06,1.161128330031998e-05,-5.3383213861518955e-06,4.499976017457038e-06,1.161128330031998e-05,5.3383213861518955e-06,-3.3714285714285737,0.16742857142857126,3.3714285714285737,0.16742857142857126,644f7c1c85c7
3.5279423999999997,1.4131400684133526,3,3.589913107909101e-05,1.1822812068006094e-05,3.917942586490343e-05,3.589913107909101e-05,1.1822812068006094e-05,3.917942586490343e-05,0.7428571428571473,-0.000571428571428445,0.7428571428571473,0.000571428571428445,6523c349753c
3.6304489199999983,1.483060010271881,3,0.2506396433333323,-0.21922122324125298,0.29895167621579055,0.2506396433333323,0.21922122324125298,0.29895167621579055,7.5,-0.8199999999999998,7.5,0.8199999999999998,671e6de2497a
3.4945708800000013,1.4278100518580412,3,-0.18081989795833425,0.11257112091773594,-0.2009204260095638,0.18081989795833425,0.11257112091773594,0.2009204260095638,2.0,0.355,2.0,0.355,6e2a4c6f4f57
3.6417467499999976,1.4947093193737857,3,-0.15284856623529192,-0.04534521233748104,-0.15470534101129618,0.15284856623529192,0.04534521233748104,0.15470534101129618,5.5,-0.375,5.5,0.375,70cbc0e44d36
3.4653408000000008,1.377584111951095,3,0.0021946566235634974,2.7625621513428803e-05,0.0025673863937027584,0.0021946566235634974,2.7625621513428803e-05,0.0025673863937027584,5.333333333333336,-0.004999999999999893,5.333333333333336,0.004999999999999893,70e7ab872359
3.0934279999999985,1.240017036936069,3,2.5431820513305707e-05,-2.6242173498817147e-06,2.938699188896322e-05,2.5431820513305707e-05,2.6242173498817147e-06,2.938699188896322e-05,6.9714285714285715,-0.06742857142857117,6.9714285714285715,0.06742857142857117,72b286460831
