uid,Formula,Rashba_parameter,y_pred_C6,y_pred_new,resid_C6,resid_new
aa9a981d89aa, ,4.457,2.8894393,2.768736,1.567560655593872,1.6882641143798827
acdcd16c0d76,BiIS,1.858,1.5784241,1.5995963,0.2795759038925172,0.2584037380218507
b13beafa16aa,AsIS,2.033,2.0388658,2.0390675,-0.005865804672241293,-0.0060675067901612145
b8fb10416122,ZrHf3Se8,0.725,0.98071873,1.1027757,-0.255718731880188,-0.3777756929397583
badda86cab42,BiClTe,1.458,0.677,0.7881948,0.7810000138282776,0.6698052244186401
c04fc052f2ca,Mo2W2Te8,1.645,1.5073458,1.5578853,0.13765420436859133,0.08711471080780031
c55716558616,HfTi3Se8,1.191,1.2305845,1.0760694,-0.03958450222015375,0.11493064498901373
c798e725e2fb,WCr3Se8,1.16,1.2462697,1.3042686,-0.08626970291137703,-0.14426859855651863
c96ef4fc869c,BiClS,1.181,1.7025183,1.8897341,-0.521518343925476,-0.708734148979187
cce78d90e899,Hf2Ti2Se8,1.409,1.5429459,1.6607019,-0.13394586181640622,-0.2517018709182739
cf7927ab6730,Bi2P2Te6,1.814,2.3966043,2.6291308,-0.582604299545288,-0.8151308403015136
d59c96fdfda1,SeSn,0.873,1.3593976,1.0941925,-0.48639764976501465,-0.2211925048828125
da5fd2bb47af,ClSbTe,2.891,2.8042514,2.5442982,0.08674856758117677,0.3467018280029297
dc4259e69783,WCr3S8,1.317,1.5869153,1.5915954,-0.26991525459289556,-0.27459541130065923
de5756e4fbfa,BiBrSe,2.784,1.6206496,1.7478883,1.163350423812866,1.0361116733551023
df0019ec24b5,ISbSe,2.431,2.568256,2.4000635,-0.13725590133666987,0.030936485290527393
e688959ea45b,SnTe,0.806,0.7599216,0.99045897,0.04607838964462285,-0.18445896530151362
eadd37f03ca5,GeTe,0.952,0.7781048,0.89649993,0.17389521789550777,0.05550006818771358
eef072f845ce,CrW3Te8,1.592,1.3670223,1.3750457,0.22497772407531746,0.21695434284210213
f1e78a09001d,BrSbTe,1.315,1.1291091,0.99832284,0.18589085578918452,0.3166771554946899
f4f45fcade85,BiBrTe,0.498,0.9142855,0.8219451,-0.41628548097610474,-0.32394507122039795
f705a30af945,ClSbSe,1.483,1.2406832,0.94812196,0.2423168020248414,0.5348780350685121
fba4cc0df459,AsClTe,0.634,0.8984057,0.9580655,-0.26440567111968993,-0.32406550979614257
