n_features,features,features_str,loo_r2,loo_mae,best_params,kernel,C,gamma,epsilon
5,"['pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull, E_sfrac_VBM, E_sfrac_CBM",0.30245879459713243,0.5695621530419969,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,100.0,1.0,0.2
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg",0.43266676673003157,0.5395237461321144,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_ehull",0.31440602167774634,0.5538061853671674,"{'svr__C': 100.0, 'svr__epsilon': 0.1, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.1
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",0.4393335712906159,0.5405108130707433,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.2
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, E_sfrac_CBM",-0.03824504783811111,0.642747072922043,"{'svr__C': 1.0, 'svr__epsilon': 0.2, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,1.0,1.0,0.2
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, old_ehull",0.3791197054377251,0.5087522778490663,"{'svr__C': 1000.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,1000.0,0.01,0.2
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM",0.2784848015106617,0.620295690561111,"{'svr__C': 10.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,10.0,0.01,0.2
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, E_sfrac_CBM",0.19584712714880814,0.5888619172976114,"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,1.0,1.0,0.1
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_ehull, E_sfrac_VBM",0.49017224386587144,0.5125242703030862,"{'svr__C': 100.0, 'svr__epsilon': 0.2, 'svr__gamma': 0.01, 'svr__kernel': 'rbf'}",rbf,100.0,0.01,0.2
6,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4, old_ehull, E_sfrac_CBM",0.04211329679307574,0.5957282665361424,"{'svr__C': 1.0, 'svr__epsilon': 0.2, 'svr__gamma': 1.0, 'svr__kernel': 'rbf'}",rbf,1.0,1.0,0.2
