n_feat,features,features_full,loo_r2,loo_mae
3,"E_pfrac_VBM, ehull, E_sfrac_CBM","old_E_pfrac_VBM, old_ehull, E_sfrac_CBM",0.3149573890234749,0.5770318279410854
3,"E_pfrac_VBM, E_sfrac_VBM, E_sfrac_CBM","old_E_pfrac_VBM, E_sfrac_VBM, E_sfrac_CBM",0.41161481389247767,0.5451552334120779
3,"E_pfrac_CBM, radius_mean, max_Z4","old_E_pfrac_CBM, old_radius_mean, old_max_Z4",0.2801362317534294,0.5911247789883854
3,"E_pfrac_CBM, radius_mean, pmid_afs_gauss_std","old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std",0.4949480974014626,0.5025875888015285
3,"E_pfrac_CBM, radius_mean, kpath_angle_deg","old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg",0.3808124568908644,0.5714096037883951
3,"E_pfrac_CBM, radius_mean, ehull","old_E_pfrac_CBM, old_radius_mean, old_ehull",0.3716439835111899,0.5562841421281449
3,"E_pfrac_CBM, radius_mean, E_sfrac_VBM","old_E_pfrac_CBM, old_radius_mean, E_sfrac_VBM",0.3748437816444633,0.5755568448028179
3,"E_pfrac_CBM, radius_mean, E_sfrac_CBM","old_E_pfrac_CBM, old_radius_mean, E_sfrac_CBM",0.34398346364976906,0.5512778819883712
3,"E_pfrac_CBM, max_Z4, pmid_afs_gauss_std","old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std",0.4783355989305148,0.4926824398281599
3,"E_pfrac_CBM, max_Z4, kpath_angle_deg","old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg",0.27473306768974204,0.5765170631986677
3,"E_pfrac_CBM, max_Z4, ehull","old_E_pfrac_CBM, old_max_Z4, old_ehull",0.20253606933786605,0.6200718414277742
3,"E_pfrac_CBM, max_Z4, E_sfrac_VBM","old_E_pfrac_CBM, old_max_Z4, E_sfrac_VBM",0.3727244968126271,0.5781043719667377
3,"E_pfrac_CBM, max_Z4, E_sfrac_CBM","old_E_pfrac_CBM, old_max_Z4, E_sfrac_CBM",0.17585899614053024,0.6059146258036295
3,"E_pfrac_CBM, pmid_afs_gauss_std, kpath_angle_deg","old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg",0.47677221334966113,0.49330355682758376
3,"E_pfrac_CBM, pmid_afs_gauss_std, ehull","old_E_pfrac_CBM, pmid_afs_gauss_std, old_ehull",0.5034765449627439,0.4912189750478725
3,"E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_VBM","old_E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_VBM",0.5143613368378495,0.5155007271477671
3,"E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_CBM","old_E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_CBM",0.5122767450825134,0.48672443498746315
3,"E_pfrac_CBM, kpath_angle_deg, ehull","old_E_pfrac_CBM, old_kpath_angle_deg, old_ehull",0.2852542412571437,0.5824089439709982
3,"E_pfrac_CBM, kpath_angle_deg, E_sfrac_VBM","old_E_pfrac_CBM, old_kpath_angle_deg, E_sfrac_VBM",0.3650603801966208,0.5543202993604872
3,"E_pfrac_CBM, kpath_angle_deg, E_sfrac_CBM","old_E_pfrac_CBM, old_kpath_angle_deg, E_sfrac_CBM",0.3010063135489417,0.5575255189857098
3,"E_pfrac_CBM, ehull, E_sfrac_VBM","old_E_pfrac_CBM, old_ehull, E_sfrac_VBM",0.3486703115314995,0.5678679423958364
3,"E_pfrac_CBM, ehull, E_sfrac_CBM","old_E_pfrac_CBM, old_ehull, E_sfrac_CBM",0.2645102101044925,0.5737838635396476
3,"E_pfrac_CBM, E_sfrac_VBM, E_sfrac_CBM","old_E_pfrac_CBM, E_sfrac_VBM, E_sfrac_CBM",0.34298297740854045,0.5813118464007523
3,"radius_mean, max_Z4, pmid_afs_gauss_std","old_radius_mean, old_max_Z4, pmid_afs_gauss_std",0.13207719863070222,0.6327303238300361
3,"radius_mean, max_Z4, kpath_angle_deg","old_radius_mean, old_max_Z4, old_kpath_angle_deg",-0.08718386455504556,0.7518772530555724
