n_features,features,features_str,model,loo_r2,loo_mae
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_radius_mean', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, E_sfrac_VBM, E_sfrac_CBM",SVR_RBF,0.42690357018239633,0.4985151996309403
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg",LR,0.10603275438729054,0.7041239532596181
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg",SVR_RBF,0.4825311469311194,0.5165242436099156
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_ehull",LR,0.08315702347187104,0.7028766202771639
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, old_ehull",SVR_RBF,0.18251710227429052,0.6047677082938092
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",LR,0.42176749336310637,0.5782594597497159
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",SVR_RBF,0.275325685344735,0.5857582516839689
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_CBM",LR,0.0858077113414315,0.6984368362507711
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_CBM",SVR_RBF,0.3891546158252258,0.48619890415736067
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg, old_ehull",LR,0.11875346651166652,0.6866074782286965
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg, old_ehull",SVR_RBF,0.2641034088693417,0.5744623180190618
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM",LR,0.3993793344578431,0.5840649912654808
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM",SVR_RBF,0.30958148927256446,0.559773369797962
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg, E_sfrac_CBM",LR,0.11659746055516429,0.6956102607780805
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg, E_sfrac_CBM",SVR_RBF,0.42765997226605457,0.5004436281664071
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_ehull, E_sfrac_VBM",LR,0.34985971025402174,0.5990052807597045
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_ehull, E_sfrac_VBM",SVR_RBF,0.369427669621031,0.5211657588146098
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_ehull, E_sfrac_CBM",LR,0.04242325524502866,0.7044802842083522
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_ehull, E_sfrac_CBM",SVR_RBF,0.20788518916243903,0.553412450320474
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_max_Z4', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, E_sfrac_VBM, E_sfrac_CBM",LR,0.3655874306288396,0.5963136487480307
