uid,Formula,E_sfrac_VBM,E_pfrac_VBM,E_dfrac_VBM,E_sfrac_CBM,E_pfrac_CBM,E_dfrac_CBM
433f707c632c,BiISe,0.047535020244070976,0.9398559787108898,0.01260900104503949,0.029934454104160384,0.9363190083097934,0.03374653758604612
449640ec4d30,Mo2W2S8,0.018923459489729934,0.2460316402109348,0.7350449002993353,0.018927831166384024,0.21486009044658,0.766212078387036
49b7be14f786,BiBrS,0.07724881303734121,0.9054422059683191,0.017308980994339647,0.07098355632723931,0.9179518605522078,0.011064583120552888
4c49d27e66e5,ISSb,0.09024384042309747,0.9008314475323551,0.00892471204454728,0.0417278898073612,0.9242786186256567,0.03399349156698187
4cb4ea247ef4,Ga2P2Te6,0.1687445835096842,0.7987867061692567,0.03246871032105932,0.2817438212788414,0.6833191630752392,0.034937015645919445
4da5c6be60db,BrSSb,0.21312923387851337,0.7781578651895654,0.008712900931921105,0.1127062816076657,0.8720554964067075,0.015238221985626833
4f1ab08988cc,TiZr3Te8,0.013033533401961048,0.6780139892439567,0.3089524773540822,0.011036022849878306,0.13219808803726907,0.8567658891128526
4fd8ad708fb0,AsClTe,0.09122429973493804,0.890990281061203,0.017785419203858923,0.08882037420281286,0.8740127549942982,0.03716687080288888
52a5e2b280d4,ZrTi3Se8,0.00979234553169474,0.6920584787025873,0.29814917576571803,0.009072020021009703,0.11392742383983191,0.8770005561391584
548aa830244c,Cr2W2Se8,0.011759138952866717,0.2574095908352963,0.7308312702118372,0.019011650236845475,0.14364914585339517,0.8373392039097595
5974b6403c31,Cr2W2S8,0.01578453574894856,0.22446457457133617,0.7597508896797155,0.016765050714363617,0.1551048369505944,0.828130112335042
5b94060698bc,ISSb,0.12196166663528704,0.8657626193210701,0.012275714043642801,0.08927140463528603,0.8920896252432643,0.018638970121449903
5c3fe56a1a89,MoW3Te8,0.015353982637156082,0.3026388786855511,0.6820071386772927,0.03267887783282141,0.1359773645416552,0.8313437576255233
5d1a32a28ffa,P2Sb2Se6,0.17456770034089622,0.8119337706966572,0.013498528962446488,0.13351674065177224,0.8219839910839155,0.04449926826431212
5d829e480507,AsISe,0.0793863623753953,0.9048288361598638,0.015784801464740802,0.07327902539263174,0.8867697783648906,0.039951196242477616
5e4ff1f56b4a,PbS,0.0807294531851689,0.9008623060842779,0.01840824073055342,0.1765127813811522,0.7880961465089661,0.035391072109881724
60065d3bbcf2,Cr2Mo2Se8,0.01135503756858262,0.3085436996549753,0.6801012627764421,0.01684658673608218,0.13945631470079006,0.8436970985631277
62bb754c4cb2,Cr2W2Te8,0.012436836904029384,0.25701553206168076,0.7305476310342899,0.023929017284860875,0.12020854105049726,0.8558624416646419
644f7c1c85c7,CrMo3S8,0.016585030506144193,0.24268343583888824,0.7407315336549675,0.01656612327368322,0.16888393212777822,0.8145499445985385
6523c349753c,WCr3Te8,0.011124317250036722,0.2608538881692285,0.7280217945807347,0.019060726799642488,0.10867993981680367,0.872259333383554
