Formula,uid,spacegroup,ehull,bandgap,band,kpath,Rashba_parameter,SS,dE,anticrossing
Cr2Mo2S8,72b286460831,Pma2 (28),0.017,1.039,V,Y->S,0.838,0.08,0.443,False
ISSb,4c49d27e66e5,P3m1 (156),0.185,0.872,C,G->M,0.887,0.113,0.409,False
ISSb,4c49d27e66e5,P3m1 (156),0.185,0.872,C,G->K,0.907,0.11,0.409,False
SnTe,e688959ea45b,P3m1 (156),0.119,1.592,V,M->K,0.806,0.231,1.011,False
Ti2Zr2Se8,846b50801a93,P1 (1),0.142,0.616,V,S->Y,1.613,0.098,0.0,False
Ti2Zr2Se8,846b50801a93,P1 (1),0.142,0.616,V,Y->S,1.767,0.098,0.0,False
Ti2Zr2Se8,846b50801a93,P1 (1),0.142,0.616,V,G->S,0.552,0.094,0.061,False
GeTe,eadd37f03ca5,P3m1 (156),0.087,1.488,V,M->K,0.952,0.219,1.322,True
MoCr3Te8,899032b4ad0c,P1 (1),0.087,0.481,V,G->Y,1.409,0.104,0.0,False
MoCr3Te8,899032b4ad0c,P1 (1),0.087,0.481,V,G->S,0.713,0.097,0.137,False
BiIS,40034665f9f1,P3m1 (156),0.14,0.848,C,G->M,1.224,0.144,0.0,False
BiIS,40034665f9f1,P3m1 (156),0.14,0.848,C,G->K,1.254,0.141,0.0,False
BiISe,433f707c632c,P3m1 (156),0.114,0.84,C,G->M,1.228,0.153,0.0,False
BiISe,433f707c632c,P3m1 (156),0.114,0.84,C,G->K,1.255,0.152,0.0,False
BiITe,a84d988e38ac,P3m1 (156),0.11,0.691,C,M->G,0.467,0.132,0.566,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,V,G->X,1.132,0.178,0.0,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,V,G->Y,0.95,0.091,0.138,True
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,V,G->S,0.875,0.132,0.036,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,C,S->X,1.405,0.132,0.007,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,C,S->Y,1.726,0.158,0.0,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,C,Y->G,1.914,0.083,2.264,False
O2Pb2,20f098bd3f31,Pm (6),0.287,0.215,C,S->G,1.723,0.151,0.001,False
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,V,M->K,0.855,0.166,0.727,False
PbSe,a0dbdc6630fa,P3m1 (156),0.217,1.68,C,M->G,1.603,0.31,0.298,False
" ",aa9a981d89aa,P1 (1),0.054,0.875,V,G->Y,4.457,0.217,0.005,False
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,V,X->G,2.074,0.211,0.0,False
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,V,G->X,4.384,0.211,0.0,False
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,C,G->Y,1.971,0.113,0.002,False
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,C,Y->G,1.66,0.157,0.015,False
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,C,X->G,1.729,0.166,0.011,False
Bi2P2Se6,aa9a981d89aa,P1 (1),0.054,0.875,C,G->X,2.029,0.113,0.0,False
HfTi3Se8,c55716558616,P1 (1),0.137,0.589,V,S->Y,1.191,0.095,0.054,False
Mo2W2Te8,c04fc052f2ca,Pm (6),0.011,0.879,V,X->G,1.645,0.259,0.0,False
Mo2W2Te8,c04fc052f2ca,Pm (6),0.011,0.879,V,G->S,1.315,0.217,0.224,False
Mo2W2Te8,c04fc052f2ca,Pm (6),0.011,0.879,C,G->S,1.35,0.086,0.217,False
BiISe,70cbc0e44d36,P3m1 (156),0.0,0.929,V,M->K,1.267,0.087,0.357,False
BiISe,70cbc0e44d36,P3m1 (156),0.0,0.929,C,G->M,2.045,0.232,0.0,False
BiISe,70cbc0e44d36,P3m1 (156),0.0,0.929,C,M->K,1.142,0.115,1.099,False
BiISe,70cbc0e44d36,P3m1 (156),0.0,0.929,C,G->K,2.089,0.228,0.0,True
