dropped_uid,dropped_formula,dropped_alpha_R,r2_without,mae_without,delta_r2,abs_residual_when_present
e688959ea45b,SnTe,0.806,0.6293547769535933,0.4367221938152702,-0.01402796676583562,0.04607838964462285
70cbc0e44d36,BiISe,2.089,0.6287999706381973,0.4419654663922835,-0.014582773081231681,0.5252432956695556
60065d3bbcf2,Cr2Mo2Se8,1.173,0.6278269348257365,0.4452236348755505,-0.015555808893692458,0.035869695663452106
9c2979187585,WMo3S8,1.816,0.6274117086296043,0.43756191519815085,-0.01597103508982467,0.23891256713867182
f4f45fcade85,BiBrTe,0.498,0.6268819663412191,0.4388323560880155,-0.016500777378209874,0.41628548097610474
cce78d90e899,Hf2Ti2Se8,1.409,0.6267885970446055,0.437309769693686,-0.016594146674823396,0.13394586181640622
dc4259e69783,WCr3S8,1.317,0.6267123689686818,0.43956286128686395,-0.016670374750747174,0.26991525459289556
1667d1443160,TiHf3Te8,1.512,0.6265693246336771,0.44262527606438606,-0.016813419085751846,0.7669030075073242
a84d988e38ac,BiITe,0.467,0.6264730655427398,0.42791222309093085,-0.01690967817668909,0.9748950080871581
6523c349753c,WCr3Te8,0.99,0.6258903666951692,0.44087364205049007,-0.017492377024259764,0.33757437229156495
82b85dfd7723,P2Sb2Te6,2.596,0.6248990472129918,0.43779674552411446,-0.01848369650643711,0.32902745819091805
968a6902b7f5,BiClTe,1.175,0.6248964847943663,0.44315795235731154,-0.018486258925062615,0.2501000881195068
c04fc052f2ca,Mo2W2Te8,1.645,0.6248758813663583,0.43743948787572434,-0.01850686235307064,0.13765420436859133
a1d716aad84d,Mo2W2Se8,1.784,0.6240663577159272,0.44017922485118005,-0.019316386003501718,0.11511429214477542
961c37d6e527,MoCr3Se8,0.977,0.6240552498801507,0.4370966546535492,-0.01932749383927823,0.24932670402526858
287dcf4f1a19,Bi2P2S6,1.406,0.6240384670729713,0.4398420062405722,-0.01934427664645766,1.0333055438995362
a9f87eba4b96,CrW3S8,1.909,0.6221295620027654,0.4385849435426751,-0.02125318171666357,0.13802107238769534
70e7ab872359,HfZr3Se8,0.95,0.6213323608877293,0.44463840700168994,-0.02205038283169969,0.0693795800209045
988b11badabb,Cr2Mo2Te8,1.105,0.6210110013653185,0.4361792278581736,-0.022371742354110435,0.3205572557449341
fba4cc0df459,AsClTe,0.634,0.6208312189618184,0.43678336644172666,-0.022551524757610575,0.26440567111968993
d59c96fdfda1,SeSn,0.873,0.6202258907216858,0.44241591582006334,-0.02315685299774317,0.48639764976501465
a148361e5e9a,TiZr3Se8,1.321,0.6196844938146138,0.44045794046168424,-0.023698249904815172,0.0972505607604981
acdcd16c0d76,BiIS,1.858,0.6192289918926863,0.4440517764042835,-0.02415375182674262,0.2795759038925172
671e6de2497a,AsBrTe,0.694,0.618913198856216,0.44686103875296446,-0.024469544863212955,0.39346004104614263
eef072f845ce,CrW3Te8,1.592,0.6175946266197632,0.4448145770686013,-0.025788117099665775,0.22497772407531746
114b3382699c,AsITe,0.579,0.6174833766084975,0.4312321286444761,-0.025899367110931437,0.5983545742034913
304bc6a92d82,BiBrTe,1.13,0.617401880782662,0.4478319936625811,-0.025980862936766935,0.45738136291503917
72b286460831,Cr2Mo2S8,1.344,0.6171913632741757,0.4434563940057949,-0.026191380445253265,0.1538759288787841
4fd8ad708fb0,AsClTe,2.895,0.6171327059836311,0.44256877425252167,-0.026250037735797815,0.4418599796295166
433f707c632c,BiISe,1.255,0.6170941020807177,0.4413074987323916,-0.026288641638711252,0.39219892501831044
03bcf7dcdaf2,Sn2Te2,4.804,0.6167334367827291,0.43417686408879796,-0.026649306936699868,1.2938645877838137
da5fd2bb47af,ClSbTe,2.891,0.6164458094729586,0.4479548552912109,-0.026936934246470368,0.08674856758117677
a80866a2c6b4,BiClSe,3.032,0.616378817694053,0.4377439839937249,-0.027003926025375935,0.8793145961761475
b8fb10416122,ZrHf3Se8,0.725,0.6162367446065937,0.4467286753605823,-0.027145999112835217,0.255718731880188
0c0fbdaf8f4a,ClSbSe,2.682,0.6159702153481899,0.444681188228179,-0.027412528371239087,0.4438785724639893
05a06afa3b20,WMo3Se8,1.643,0.6143907149128855,0.44529039686553323,-0.02899202880654339,0.09707153511047362
18e62ba75259,BrSbTe,2.631,0.6140414321227672,0.45055730591988075,-0.029341311596661757,0.5969131412506106
40034665f9f1,BiIS,1.254,0.6129547304113188,0.4440375786995401,-0.03042801330811018,0.2559054412841797
5b94060698bc,ISSb,2.844,0.6127845899290992,0.44172114683170705,-0.030598153790329707,0.7554141464233397
c96ef4fc869c,BiClS,1.181,0.6126383504549917,0.43386241312902796,-0.03074439326443723,0.521518343925476
81af2831dbb2,Hf2Zr2Se8,0.698,0.6117876860470275,0.4426293030369038,-0.03159505767240145,0.32564671230316167
5c3fe56a1a89,MoW3Te8,2.045,0.6113831032012311,0.4471501939004781,-0.031999640518197814,0.6502026748657226
899032b4ad0c,MoCr3Te8,1.409,0.6113016072600828,0.450908758071004,-0.03208113645934618,0.21887787246704105
343d2125478e,ISbSe,1.17,0.6108836843375569,0.4513288985369156,-0.03249905938187203,0.06526152610778801
323fb700d903,WMo3Te8,1.501,0.6101573292589175,0.4518879526683262,-0.033225414460511415,0.1297373046875001
846b50801a93,Ti2Zr2Se8,1.767,0.6099337249209913,0.44951130706436776,-0.033449018798437646,0.09167687129974356
159f028a85d0,CrMo3Te8,0.896,0.6099050443600019,0.43509056022702425,-0.033477699359427016,0.6484545745849609
0b7696e1f4c9,CrW3Se8,1.756,0.6088882556282523,0.44589075673842915,-0.03449448809117661,0.30351265048980713
548aa830244c,Cr2W2Se8,1.39,0.608708095142921,0.45066819403122876,-0.03467464857650793,0.011220946311950586
3e1923c616ad,TiHf3Se8,1.256,0.6084740993843356,0.4571903505373974,-0.03490864433509333,0.1883749189376831
1dcd471c2288,AsBrS,3.109,0.6076600801291592,0.4475567120921854,-0.035722663590269765,0.2979197826385498
18e377cce57f,Ti2Zr2Te8,1.855,0.607479972019451,0.45473110479724643,-0.03590277169997791,0.18580160617828367
52a5e2b280d4,ZrTi3Se8,1.091,0.6066422409226205,0.45285711341488116,-0.036740502796808405,0.14210732841491702
5974b6403c31,Cr2W2S8,1.592,0.6065440076665155,0.45377742419924044,-0.036838736052913434,0.22783268260955802
11db0908d9ef,BiBrSe,0.393,0.6064623609673477,0.4479600857325962,-0.036920382752081204,0.5559409923553467
1a3bdd1b142a,HgTe,0.618,0.6059785471071837,0.4528854730226555,-0.037404196612245255,1.1399605579376222
7fe9c5cb910c,BiClSe,0.746,0.6058392379106845,0.4406061576385887,-0.03754350580874444,0.1820499815940857
449640ec4d30,Mo2W2S8,1.954,0.6057678315396116,0.4483954504363391,-0.037614912179817384,0.031719799995422404
001e03f2c095,SSeW,3.288,0.6041143455910443,0.4449042433865216,-0.039268398128384674,0.37667692947387676
2d41b3dd1772,BiITe,2.086,0.6037474080056319,0.45353528254372727,-0.03963533571379707,0.40187100028991685
5d1a32a28ffa,P2Sb2Se6,2.546,0.6033014774089392,0.45049454278362033,-0.040081266310489694,0.24128270530700702
4cb4ea247ef4,Ga2P2Te6,3.828,0.6029086028159993,0.4386968973218178,-0.0404741409034296,1.7003561763763426
aa9a981d89aa, ,4.457,0.602644530675176,0.43546293387607654,-0.04073821304425296,1.567560655593872
a7233837cfe9,CrMo3Se8,1.311,0.6023060179287334,0.44396995753658053,-0.041076725790695545,0.5337462320327759
3fb52099b370,MoCr3S8,1.221,0.6016917776912567,0.45618387241752784,-0.04169096602817224,0.11983545207977286
b13beafa16aa,AsIS,2.033,0.6016317721943505,0.44743351844378876,-0.04175097152507845,0.005865804672241293
4da5c6be60db,BrSSb,2.39,0.6012636157490713,0.45702238409859786,-0.04211912797035766,0.41576968193054187
75ee10091f43,STeW,3.947,0.6012006832686343,0.4433202697452233,-0.042182060450794645,1.5529422492980958
0f02957b17cf,ISbTe,3.658,0.6006871288410227,0.44355479443316553,-0.04269561487840623,0.9522605018615722
04fdd7d1ec5c,ClSbTe,1.018,0.6003559045257342,0.45128430198163394,-0.043026839193694766,0.20745623779296873
4f1ab08988cc,TiZr3Te8,1.679,0.5979681268923056,0.45254336530821654,-0.04541461682712333,0.2107255659103393
a0dbdc6630fa,PbSe,1.603,0.5979655107366278,0.4563424783726127,-0.04541723298280109,0.34884770202636717
4c49d27e66e5,ISSb,0.907,0.5975101641866685,0.45205472469329827,-0.04587257953276047,0.23208410072326657
20f098bd3f31,O2Pb2,1.914,0.594496659615589,0.45403907581251485,-0.04888608410383999,0.007876242637634201
1a3be826b3e0,AsClSe,3.717,0.5920817802656784,0.45670506560072605,-0.05130096345375057,0.327785722732544
2ea941c8bc3c,MoSTe,2.525,0.5907565105086447,0.4552465224898591,-0.05262623321078419,0.05253853797912589
2f6f133abcc8,MoW3S8,2.241,0.5877984619949002,0.45299228889115,-0.05558428172452878,0.11830503082275401
99fd027b1d0b,BiClS,0.461,0.5863747845184406,0.4550416376785356,-0.057007959200988334,0.4910638585090637
916afba26723,STeW,3.622,0.5858803140420736,0.44896203255166806,-0.057502429677355305,0.8970637531280516
7a8373382b33,S2Sn2,4.469,0.5721618422413569,0.44725779366493223,-0.07122090147807203,0.7453221263885501
