uid,formula,abs_resid_C6,abs_resid_5feat_minus_ehull,abs_resid_7feat_C6_plus_z4,mean_abs_resid_across_sets,n_sets_top10
159f028a85d0,CrMo3Te8,0.6484545745849609,0.575429705619812,0.7596711196899414,0.661185133298238,0
0f02957b17cf,ISbTe,0.9522605018615722,0.8414135055541991,0.8941931800842284,0.8959557291666665,0
4c49d27e66e5,ISSb,0.23208410072326657,0.27646500396728513,0.11474520492553708,0.2077647698720296,0
49b7be14f786,BiBrS,0.6287061996459962,0.7919387645721436,0.6616334743499757,0.6940928128560385,0
449640ec4d30,Mo2W2S8,0.031719799995422404,0.11283230400085453,0.024609800338745158,0.056387301445007365,0
433f707c632c,BiISe,0.39219892501831044,0.23953807830810536,0.3251756477355956,0.3189708836873371,0
40034665f9f1,BiIS,0.2559054412841797,0.2355589189529419,0.25255101108551026,0.2480051237742106,0
3fb52099b370,MoCr3S8,0.11983545207977286,0.10127742671966544,0.03669543647766105,0.08593610509236645,0
3e1923c616ad,TiHf3Se8,0.1883749189376831,0.22387174987792968,0.2057694616317749,0.2060053768157959,0
4da5c6be60db,BrSSb,0.41576968193054187,0.6557713603973387,0.5463520145416259,0.5392976856231688,0
5c3fe56a1a89,MoW3Te8,0.6502026748657226,0.6577048730850219,0.6012516450881957,0.6363863976796468,0
5d1a32a28ffa,P2Sb2Se6,0.24128270530700702,0.27087712669372577,0.2335886993408205,0.24858284378051776,0
5d829e480507,AsISe,0.8026100864410401,0.780242609024048,0.8071829547882081,0.7966785500844321,0
5e4ff1f56b4a,PbS,0.3178037967681884,0.3375410404205321,0.29557734394073476,0.31697406037648507,0
52a5e2b280d4,ZrTi3Se8,0.14210732841491702,0.24323590660095218,0.1779919471740723,0.18777839406331384,0
548aa830244c,Cr2W2Se8,0.011220946311950586,0.012002959251403711,0.04792477130889883,0.023716225624084375,0
4f1ab08988cc,TiZr3Te8,0.2107255659103393,0.18683173274993892,0.15209295368194575,0.18321675078074132,0
4fd8ad708fb0,AsClTe,0.4418599796295166,0.3612322998046875,0.43183662414550783,0.411642967859904,0
6523c349753c,WCr3Te8,0.33757437229156495,0.357625732421875,0.45966161251068116,0.3849539057413737,0
644f7c1c85c7,CrMo3S8,0.09513966083526615,0.12026874065399173,0.00919660091400143,0.07486833413441978,0
70cbc0e44d36,BiISe,0.5252432956695556,0.7149152889251709,0.5445925130844116,0.5949170325597127,0
671e6de2497a,AsBrTe,0.39346004104614263,0.6977165994644166,0.47891522026062017,0.5233639535903931,0
70e7ab872359,HfZr3Se8,0.0693795800209045,0.024130392074585005,0.05171753168106075,0.04840916792551675,0
72b286460831,Cr2Mo2S8,0.1538759288787841,0.07897601699829093,0.04257712936401359,0.09180969174702953,0
7a8373382b33,S2Sn2,0.7453221263885501,0.7598015251159671,0.6161021175384525,0.7070752563476566,0
7fe9c5cb910c,BiClSe,0.1820499815940857,0.06546752834320069,0.09460806035995484,0.11404185676574707,0
81af2831dbb2,Hf2Zr2Se8,0.32564671230316167,0.3883534212112427,0.3218072195053101,0.34526911767323815,0
82b85dfd7723,P2Sb2Te6,0.32902745819091805,0.03607301330566415,0.6464417419433595,0.33718073781331387,0
846b50801a93,Ti2Zr2Se8,0.09167687129974356,0.09927896690368643,0.032572825431823826,0.07450955454508461,0
899032b4ad0c,MoCr3Te8,0.21887787246704105,0.15822561645507816,0.31592162513732913,0.23100837135314944,0
60065d3bbcf2,Cr2Mo2Se8,0.035869695663452106,0.01874544429779057,0.03932013320922856,0.03131175772349041,0
62bb754c4cb2,Cr2W2Te8,0.26348868370056144,0.2796011304855346,0.0514301395416259,0.19817331790924064,0
5974b6403c31,Cr2W2S8,0.22783268260955802,0.3029168920516967,0.27450609970092765,0.26841855812072746,0
5b94060698bc,ISSb,0.7554141464233397,0.5482689323425292,0.5478679122924803,0.6171836636861164,0
988b11badabb,Cr2Mo2Te8,0.3205572557449341,0.2831034851074219,0.34216668128967287,0.3152758073806763,0
968a6902b7f5,BiClTe,0.2501000881195068,0.18358225822448726,0.24223704338073726,0.2253064632415771,0
961c37d6e527,MoCr3Se8,0.24932670402526858,0.24985432434082033,0.2528574447631836,0.25067949104309084,0
916afba26723,STeW,0.8970637531280516,0.3564863414764403,0.9352119178771972,0.7295873374938964,0
a148361e5e9a,TiZr3Se8,0.0972505607604981,0.07227251911163335,0.15008840942382817,0.1065371630986532,0
