features,feat_list,indices,n_feat,cv5_r2
E_pfrac_relevant + kpath_total_weight + kstart_frac_y,"E_pfrac_relevant,kpath_total_weight,kstart_frac_y","(2, 27, 30)",3,0.06184725413460597
end_adf_mean + end_nearest_mass + kend_frac_x,"end_adf_mean,end_nearest_mass,kend_frac_x","(9, 16, 18)",3,0.061839517966516586
end_adf_mean + end_nearest_Z4 + kend_frac_x,"end_adf_mean,end_nearest_Z4,kend_frac_x","(9, 14, 18)",3,0.061839517966516586
end_adf_mean + end_nearest_Z + kend_frac_x,"end_adf_mean,end_nearest_Z,kend_frac_x","(9, 13, 18)",3,0.061839517966516586
mid_adf_min + start_adf_max + start_adf_mean,"mid_adf_min,start_adf_max,start_adf_mean","(41, 52, 53)",3,0.061777021954519194
E_pfrac_CBM + kend_frac_x + mid_adf_std,"E_pfrac_CBM,kend_frac_x,mid_adf_std","(0, 18, 43)",3,0.06176649308870419
end_adf_max + kpath_angle_deg + kstart_frac_x,"end_adf_max,kpath_angle_deg,kstart_frac_x","(8, 24, 29)",3,0.06174974225777634
E_pfrac_relevant + kpath_real_distance + min_mass,"E_pfrac_relevant,kpath_real_distance,min_mass","(2, 26, 48)",3,0.06172238490987854
E_pfrac_relevant + kend_frac_x + kpath_angle_deg,"E_pfrac_relevant,kend_frac_x,kpath_angle_deg","(2, 18, 24)",3,0.06167043304479878
band_binary + mean_Z + start_adf_max,"band_binary,mean_Z,start_adf_max","(5, 38, 52)",3,0.06166064739924752
kmid_frac_x + kstart_frac_z + start_adf_max,"kmid_frac_x,kstart_frac_z,start_adf_max","(21, 31, 52)",3,0.061621320488423656
band_binary + end_adf_max + kmid_frac_y,"band_binary,end_adf_max,kmid_frac_y","(5, 8, 22)",3,0.0616209080666793
E_pfrac_CBM + mid_adf_std + start_adf_n_triplets,"E_pfrac_CBM,mid_adf_std,start_adf_n_triplets","(0, 43, 55)",3,0.0614892166093491
kend_frac_x + kend_frac_y + mid_adf_max,"kend_frac_x,kend_frac_y,mid_adf_max","(18, 19, 39)",3,0.06147994332976643
end_adf_std + kpath_real_distance + mid_adf_max,"end_adf_std,kpath_real_distance,mid_adf_max","(12, 26, 39)",3,0.06146774277085911
end_adf_mean + kvec_z + mid_nearest_mass,"end_adf_mean,kvec_z,mid_nearest_mass","(9, 34, 47)",3,0.061442476185507335
end_adf_mean + kvec_z + mid_nearest_Z,"end_adf_mean,kvec_z,mid_nearest_Z","(9, 34, 44)",3,0.061442476185507335
end_adf_mean + kvec_z + mid_nearest_Z4,"end_adf_mean,kvec_z,mid_nearest_Z4","(9, 34, 45)",3,0.061442476185507335
E_pfrac_VBM + kvec_y + mid_adf_std,"E_pfrac_VBM,kvec_y,mid_adf_std","(1, 33, 43)",3,0.06137158047606019
kend_degeneracy + start_adf_std + sum_Z4,"kend_degeneracy,start_adf_std,sum_Z4","(17, 56, 61)",3,0.061350602433370115
kend_frac_x + radius_mean + start_adf_max,"kend_frac_x,radius_mean,start_adf_max","(18, 51, 52)",3,0.06133465023229965
end_adf_max + kpath_interior_degeneracy + kpath_total_weight,"end_adf_max,kpath_interior_degeneracy,kpath_total_weight","(8, 25, 27)",3,0.06131763973471771
band_binary + kstart_frac_x + start_adf_max,"band_binary,kstart_frac_x,start_adf_max","(5, 29, 52)",3,0.0612999725169604
end_adf_max + kpath_interior_degeneracy + start_nearest_dist,"end_adf_max,kpath_interior_degeneracy,start_nearest_dist","(8, 25, 59)",3,0.061171672755744644
kend_frac_x + max_mass + mid_adf_max,"kend_frac_x,max_mass,mid_adf_max","(18, 37, 39)",3,0.06113940097207791
kpath_total_weight + max_Z + start_adf_std,"kpath_total_weight,max_Z,start_adf_std","(27, 35, 56)",3,0.06109046964897722
kpath_total_weight + max_Z4 + start_adf_std,"kpath_total_weight,max_Z4,start_adf_std","(27, 36, 56)",3,0.06109046964897722
kmid_frac_z + mid_adf_max + start_adf_std,"kmid_frac_z,mid_adf_max,start_adf_std","(23, 39, 56)",3,0.061055405913155524
kmid_frac_z + max_mass + start_adf_mean,"kmid_frac_z,max_mass,start_adf_mean","(23, 37, 53)",3,0.06104711959301275
end_adf_max + kpath_real_distance + mid_adf_std,"end_adf_max,kpath_real_distance,mid_adf_std","(8, 26, 43)",3,0.06102983380229747
bandgap + end_nearest_dist + start_adf_mean,"bandgap,end_nearest_dist,start_adf_mean","(6, 15, 53)",3,0.06101901141343173
E_pfrac_VBM + end_adf_min + kvec_y,"E_pfrac_VBM,end_adf_min,kvec_y","(1, 10, 33)",3,0.060979857055993736
end_adf_max + end_adf_std + start_adf_max,"end_adf_max,end_adf_std,start_adf_max","(8, 12, 52)",3,0.060969364868014096
E_pfrac_VBM + X_mean + kstart_frac_z,"E_pfrac_VBM,X_mean,kstart_frac_z","(1, 4, 31)",3,0.06094631820384944
kend_frac_x + start_adf_std + sum_Z4,"kend_frac_x,start_adf_std,sum_Z4","(18, 56, 61)",3,0.06091816333468434
end_adf_max + kpath_interior_degeneracy + kstart_frac_z,"end_adf_max,kpath_interior_degeneracy,kstart_frac_z","(8, 25, 31)",3,0.06091520936539052
