Formula,uid,kpath,mid_adf_max,E_pfrac_relevant,mid_nearest_Z,end_adf_n_triplets,start_adf_mean,start_adf_std,band_binary,Rashba_parameter
AsIS,b13beafa16aa,M->K,122.31580789444736,0.8936670822854337,33,3,78.63132011209929,12.99975606983172,0,2.033
AsIS,b13beafa16aa,G->M,104.8957102139985,0.8952076420903963,33,3,91.8308729530667,29.456339721195167,1,1.305
AsIS,b13beafa16aa,G->K,139.26307923756252,0.8952076420903963,33,3,91.8308729530667,29.456339721195167,1,1.353
AsITe,114b3382699c,G->M,120.6872771383096,0.9096856795947482,33,3,87.22691286678469,32.91240753305535,1,0.502
AsITe,114b3382699c,G->K,130.6709203093656,0.9096856795947482,33,3,87.22691286678469,32.91240753305535,1,0.579
WCr3Se8,c798e725e2fb,X->G,179.29870399379266,0.1467562156481204,24,66,58.193996962802295,26.116604427326276,0,1.16
BiIS,acdcd16c0d76,M->K,122.1367603568225,0.903623557863302,83,3,78.52839557112114,12.945811543627082,0,1.707
BiIS,acdcd16c0d76,G->M,104.99976822194768,0.9238137730702656,83,3,91.76563470927005,29.334761788944817,1,1.858
BiIS,acdcd16c0d76,M->K,122.1367603568225,0.9238137730702656,83,3,78.52839557112114,12.945811543627082,1,1.074
BiIS,acdcd16c0d76,G->K,139.32911766369156,0.9238137730702656,83,3,91.76563470927005,29.334761788944817,1,1.645
MoW3Se8,24d6cc0a0fed,X->G,179.77322464688757,0.2110720286877839,42,66,70.62194322001808,38.480487588954254,0,2.097
MoW3Se8,24d6cc0a0fed,G->S,162.79219466150707,0.2110720286877839,74,66,45.2148360986648,19.72421998369845,0,1.24
Cr2Mo2S8,72b286460831,X->G,179.04820414196757,0.1786805448398726,24,66,55.69884504452721,25.340349092165276,0,1.344
Cr2Mo2S8,72b286460831,Y->S,161.9759199447585,0.1786805448398726,42,66,67.8219367165545,31.78838167057993,0,0.838
ISSb,4c49d27e66e5,G->M,126.21711090901678,0.9212175840416548,51,3,87.42826923605482,32.590248876963656,1,0.887
ISSb,4c49d27e66e5,G->K,138.19129587805446,0.9212175840416548,51,3,87.42826923605482,32.590248876963656,1,0.907
SnTe,e688959ea45b,M->K,101.21185711598751,0.9092975411969436,50,1,63.12319098571032,0.0,0,0.806
Ti2Zr2Se8,846b50801a93,S->Y,164.82918680265757,0.7638579163771706,40,66,93.50356161547198,36.890913845464986,0,1.613
Ti2Zr2Se8,846b50801a93,Y->S,164.82918680265757,0.7638579163771706,40,66,51.08743740712069,24.89350843891315,0,1.767
Ti2Zr2Se8,846b50801a93,G->S,164.82918680265757,0.7638579163771706,40,66,51.08743740712069,24.89350843891315,0,0.552
GeTe,eadd37f03ca5,M->K,100.77182066199036,0.9154990873691008,32,1,62.48241003397288,0.0,0,0.952
MoCr3Te8,899032b4ad0c,G->Y,124.22589582406157,0.1895688272224866,24,66,39.64225376909114,17.54881445678283,0,1.409
MoCr3Te8,899032b4ad0c,G->S,143.74909795911873,0.1895688272224866,42,66,39.64225376909114,17.54881445678283,0,0.713
BiIS,40034665f9f1,G->M,126.33468598157862,0.9381116900544376,83,3,87.13830552006617,32.32019260496899,1,1.224
BiIS,40034665f9f1,G->K,138.29155996657093,0.9381116900544376,83,3,87.13830552006617,32.32019260496899,1,1.254
BiISe,433f707c632c,G->M,123.6873843527212,0.9338553284954838,83,3,87.086917874645,32.512469914602136,1,1.228
BiISe,433f707c632c,G->K,134.80153800846472,0.9338553284954838,83,3,87.086917874645,32.512469914602136,1,1.255
BiITe,a84d988e38ac,M->G,120.0722246471831,0.9417767775687268,83,3,99.05699330669302,13.025596697688746,1,0.467
O2Pb2,20f098bd3f31,G->X,72.74216223182539,0.8829775241595053,8,6,31.12585227179804,11.13251504968323,0,1.132
O2Pb2,20f098bd3f31,G->Y,164.48898345163596,0.8829775241595053,8,6,31.12585227179804,11.13251504968323,0,0.95
O2Pb2,20f098bd3f31,G->S,161.12278832598443,0.8829775241595053,8,6,31.12585227179804,11.13251504968323,0,0.875
O2Pb2,20f098bd3f31,S->X,135.01816729322763,0.8990904811171163,82,6,106.0253687826853,35.66772080616073,1,1.405
O2Pb2,20f098bd3f31,S->Y,148.8766225808509,0.8990904811171163,8,6,106.0253687826853,35.66772080616073,1,1.726
O2Pb2,20f098bd3f31,Y->G,164.48898345163596,0.8990904811171163,8,6,98.85639213251213,36.5426007686556,1,1.914
O2Pb2,20f098bd3f31,S->G,161.12278832598443,0.8990904811171163,8,6,106.0253687826853,35.66772080616073,1,1.723
PbSe,a0dbdc6630fa,M->K,99.9542616960911,0.9241098190833938,82,1,61.28804733698518,0.0,0,0.855
PbSe,a0dbdc6630fa,M->G,75.93109599736731,0.7879851211433209,82,1,61.28804733698518,0.0,1,1.603
 ,aa9a981d89aa,G->Y,149.54061306084628,0.8340700960545168,34,45,55.35100376815375,26.623654592545297,0,4.457
Bi2P2Se6,aa9a981d89aa,X->G,63.64580009154549,0.8340700960545168,34,45,54.82051554807135,25.935913457559774,0,2.074
Bi2P2Se6,aa9a981d89aa,G->X,63.64580009154549,0.8340700960545168,34,45,55.35100376815375,26.623654592545297,0,4.384
Bi2P2Se6,aa9a981d89aa,G->Y,149.54061306084628,0.8638507706444664,34,45,55.35100376815375,26.623654592545297,1,1.971
