Formula,uid,kpath,pmid_grdf_trig_max,E_pfrac_relevant,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean,Rashba_parameter
ClSbTe,da5fd2bb47af,M->G,-1.536200247079298,0.8418724917890628,0.8448925848104843,1.2833333333333332,0.1927910883603821,0.5,0.2653805638185014,2.891
ClSbTe,da5fd2bb47af,M->K,-1.536200247079298,0.8418724917890628,0.8448925848104843,1.2833333333333332,0.1927910883603821,0.5,0.2653805638185014,2.35
Cr2W2Te8,62bb754c4cb2,G->X,-6.056330613181832,0.2157043936857912,0.1016518741458471,1.3833333333333335,0.8265280213800389,0.0,7.617166012457983,1.535
Cr2W2Te8,62bb754c4cb2,Y->S,-5.1769416994126685,0.2157043936857912,0.1016518741458471,1.3833333333333335,0.947360037438575,0.0,4.836839102468051,1.105
Cr2W2Te8,62bb754c4cb2,G->S,-5.1769416994126685,0.2157043936857912,0.1016518741458471,1.3833333333333335,0.947360037438575,0.0,4.836839102468051,0.686
Mo2W2Se8,a1d716aad84d,X->G,-6.91151139312337,0.2050796246622059,0.1834049364521039,1.3166666666666669,0.9812359199975994,0.5,9.782485602669793,1.784
BiITe,2d41b3dd1772,G->M,-1.1454390733566138,0.919259222337323,0.919259222337323,1.4666666666666668,0.1305006949976784,0.0,0.0652732255226822,2.065
BiITe,2d41b3dd1772,M->K,-1.1454390733566138,0.919259222337323,0.919259222337323,1.4666666666666668,0.1305006949976784,0.5,0.0652732255226822,1.391
BiITe,2d41b3dd1772,G->K,-1.1454390733566138,0.919259222337323,0.919259222337323,1.4666666666666668,0.1305006949976784,0.0,0.0652732255226822,2.086
ZrTi3Se8,52a5e2b280d4,S->Y,-5.520923176146662,0.7405566209593908,0.1154653629793862,1.3666666666666665,1.0073082959452104,0.5,5.892091331260923,1.091
ZrTi3Se8,52a5e2b280d4,S->G,-5.520923176146662,0.7405566209593908,0.1154653629793862,1.3666666666666665,1.0073082959452104,0.5,5.892091331260923,0.48
BiBrSe,11db0908d9ef,M->G,-1.806517832124052,0.9316661883508596,0.9316661883508596,1.3,0.1673230324428795,0.5,0.4164897850017433,0.393
P2Sb2Te6,82b85dfd7723,Y->G,-5.494309473272709,0.8244461820584097,0.8318788232153959,1.2833333333333332,0.6887182659764759,0.5,6.82354038262844,2.466
P2Sb2Te6,82b85dfd7723,X->G,-5.494309473272709,0.8244461820584097,0.8318788232153959,1.2833333333333332,0.6887182659764759,0.3327478297774164,6.82354038262844,2.596
P2Sb2Te6,82b85dfd7723,Y->G,-5.494309473272709,0.8318788232153959,0.8318788232153959,1.2833333333333332,0.6887182659764759,0.5,6.82354038262844,1.057
P2Sb2Te6,82b85dfd7723,X->G,-5.494309473272709,0.8318788232153959,0.8318788232153959,1.2833333333333332,0.6887182659764759,0.3327478297774164,6.82354038262844,0.92
WCr3S8,dc4259e69783,X->G,-8.030008719758085,0.134076482189789,0.1114644811375034,1.25,1.0595060677777148,0.5,12.986300689651614,1.317
Cr2Mo2Te8,988b11badabb,X->G,-6.07740240612844,0.2124826412893839,0.1041993926048926,1.4166666666666667,0.8314531727000525,0.5,7.673742435985567,1.105
Cr2Mo2Te8,988b11badabb,Y->S,-5.199797121458841,0.2124826412893839,0.1041993926048926,1.4166666666666667,0.9528780372084776,0.0,4.88651611643779,0.842
Cr2Mo2Te8,988b11badabb,G->S,-5.199797121458841,0.2124826412893839,0.1041993926048926,1.4166666666666667,0.9528780372084776,0.0,4.88651611643779,0.735
ISbSe,343d2125478e,G->M,-1.7065867568448423,0.9133427007098202,0.9133427007098202,1.3333333333333333,0.1908869321418514,0.0,0.3719486680278174,1.17
ISbSe,343d2125478e,G->K,-1.7065867568448423,0.9133427007098202,0.9133427007098202,1.3333333333333333,0.1908869321418514,0.0,0.3719486680278174,0.954
Bi2P2Te6,cf7927ab6730,G->Y,-5.299368183687756,0.8422307722599669,0.8422307722599669,1.3333333333333333,0.7234511667555168,0.0,6.017240224129855,1.814
Bi2P2Te6,cf7927ab6730,Y->G,-5.299368183687756,0.8422307722599669,0.8422307722599669,1.3333333333333333,0.7234511667555168,0.0,6.017240224129855,1.725
Bi2P2Te6,cf7927ab6730,X->G,-5.299368183687756,0.8422307722599669,0.8422307722599669,1.3333333333333333,0.7234511667555168,0.5,6.017240224129855,1.692
Bi2P2Te6,cf7927ab6730,G->X,-5.299368183687756,0.8422307722599669,0.8422307722599669,1.3333333333333333,0.7234511667555168,0.0,6.017240224129855,1.809
HgTe,1a3bdd1b142a,G->M,-0.9351443495935298,0.8163718961430929,0.6004465462984125,1.45,0.0,0.0,0.0,0.501
HgTe,1a3bdd1b142a,G->K,-0.9351443495935298,0.8163718961430929,0.6004465462984125,1.45,0.0,0.0,0.0,0.618
