Formula,uid,kpath,E_pfrac_relevant,mid_adf_n_triplets,start_adf_min,mid_nearest_Z,start_adf_mean,kpath_angle_deg,mid_nearest_Z4,n_elements,Rashba_parameter
BiBrS,49b7be14f786,G->M,0.9145043455561068,3,56.29058961155427,83,90.9826687583123,30.0000000011179,47458321,3,1.271
BiBrS,49b7be14f786,G->K,0.9145043455561068,3,56.29058961155427,83,90.9826687583123,60.00000000111791,47458321,3,1.293
AsClTe,fba4cc0df459,G->K,0.9136992993085054,3,51.901948516124726,33,85.58910029860533,59.99999995613801,1185921,3,0.634
ClSbTe,04fdd7d1ec5c,M->K,0.8840911585585108,3,89.80312896127195,51,98.1349614217072,120.00000002401246,6765201,3,1.018
ClSbTe,04fdd7d1ec5c,M->G,0.92019295831051,3,89.80312896127195,51,98.1349614217072,-150.00000002401245,6765201,3,0.711
BiBrSe,de5756e4fbfa,G->M,0.8708858861095728,3,55.36670523214165,83,90.77662191403734,29.999999951474244,47458321,3,2.784
BiBrSe,de5756e4fbfa,G->K,0.8708858861095728,3,55.36670523214165,83,90.77662191403734,59.99999995147424,47458321,3,2.634
BiBrSe,de5756e4fbfa,G->M,0.9086603729103896,3,55.36670523214165,83,90.77662191403734,29.999999951474244,47458321,3,1.366
BiBrSe,de5756e4fbfa,G->K,0.9086603729103896,3,55.36670523214165,83,90.77662191403734,59.99999995147424,47458321,3,1.417
Bi2P2S6,287dcf4f1a19,G->Y,0.9027750754848928,45,10.592960654662392,16,55.14865774423286,90.00000000000001,65536,3,0.795
Bi2P2S6,287dcf4f1a19,Y->G,0.9027750754848928,45,4.352062455500304,16,40.219077811514815,-90.0,65536,3,1.406
Bi2P2S6,287dcf4f1a19,Y->H,0.9027750754848928,45,4.352062455500304,83,40.219077811514815,0.0,47458321,3,1.248
Bi2P2S6,287dcf4f1a19,C->H,0.9027750754848928,45,12.05753139942818,16,85.95423952877191,-121.804737478175,65536,3,0.491
Bi2P2S6,287dcf4f1a19,G->X,0.9027750754848928,45,10.592960654662392,83,55.14865774423286,28.258580294896905,47458321,3,0.882
BiClS,99fd027b1d0b,M->G,0.9372956282273632,3,87.03528249638359,83,97.73798226392977,-149.99999999570173,47458321,3,0.461
AsBrS,1dcd471c2288,M->K,0.81239137651136,3,58.98266058532257,33,78.69466938387559,119.99999998528736,1185921,3,3.109
STeW,916afba26723,M->G,0.3590873032806925,3,62.19931953360315,74,82.7631082945379,-149.9999999785103,29986576,3,3.622
STeW,916afba26723,M->K,0.3590873032806925,3,62.19931953360315,74,82.7631082945379,120.00000007800152,29986576,3,3.414
STeW,916afba26723,G->K,0.3590873032806925,3,49.30350549445959,74,94.33079722859355,59.9999999717441,29986576,3,0.533
BiClTe,968a6902b7f5,M->K,0.901195181671016,3,53.47810285494726,83,77.62498333598852,119.99999995915002,47458321,3,1.175
BiClTe,968a6902b7f5,M->K,0.9106283567992832,3,53.47810285494726,83,77.62498333598852,119.99999995915002,47458321,3,0.992
AsBrTe,671e6de2497a,G->M,0.909375314729425,3,51.47275857644119,33,86.45198127633358,29.999999954309573,1185921,3,0.694
AsBrTe,671e6de2497a,G->K,0.909375314729425,3,51.47275857644119,33,86.45198127633358,59.99999999707302,1185921,3,0.618
