Formula,uid,kpath,E_pfrac_relevant,ehull,pmid_afs_gauss_std,kpath_angle_deg,kstart_frac_y,band_binary,Rashba_parameter
AsIS,b13beafa16aa,M->K,0.8936670822854337,0.064,0.0050023399006459,119.99999999043432,0.0,0,2.033
AsIS,b13beafa16aa,G->M,0.8952076420903963,0.064,0.0050023399006459,30.00000000956568,0.0,1,1.305
AsIS,b13beafa16aa,G->K,0.8952076420903963,0.064,0.0050023399006459,60.00000000956568,0.0,1,1.353
AsITe,114b3382699c,G->M,0.9096856795947482,0.162,0.0081559843762849,30.000000022958776,0.0,1,0.502
AsITe,114b3382699c,G->K,0.9096856795947482,0.162,0.0081559843762849,59.99999998120587,0.0,1,0.579
WCr3Se8,c798e725e2fb,X->G,0.1467562156481204,0.009,2.946532368703589,180.0,0.0,0,1.16
BiIS,acdcd16c0d76,M->K,0.903623557863302,0.014,0.0007522787577415,120.00000001616534,0.0,0,1.707
BiIS,acdcd16c0d76,G->M,0.9238137730702656,0.014,0.0007522787577415,30.000000062727228,0.0,1,1.858
BiIS,acdcd16c0d76,M->K,0.9238137730702656,0.014,0.0007522787577415,120.00000001616534,0.0,1,1.074
BiIS,acdcd16c0d76,G->K,0.9238137730702656,0.014,0.0007522787577415,60.00000002328094,0.0,1,1.645
MoW3Se8,24d6cc0a0fed,X->G,0.2110720286877839,0.0,2.337046522898496,180.0,0.0,0,2.097
MoW3Se8,24d6cc0a0fed,G->S,0.2110720286877839,0.0,1.9023277634053928,49.11148107235584,0.0,0,1.24
Cr2Mo2S8,72b286460831,X->G,0.1786805448398726,0.017,3.65492256512691,180.0,0.0,0,1.344
Cr2Mo2S8,72b286460831,Y->S,0.1786805448398726,0.017,2.918340422971641,0.0,0.5,0,0.838
ISSb,4c49d27e66e5,G->M,0.9212175840416548,0.185,0.0086849318837883,29.999999914652395,0.0,1,0.887
ISSb,4c49d27e66e5,G->K,0.9212175840416548,0.185,0.0086849318837883,59.99999995624205,0.0,1,0.907
SnTe,e688959ea45b,M->K,0.9092975411969436,0.119,0.0,119.99999994329718,0.0,0,0.806
Ti2Zr2Se8,846b50801a93,S->Y,0.7638579163771706,0.142,1.054854130826018,-130.82098479221017,0.5,0,1.613
Ti2Zr2Se8,846b50801a93,Y->S,0.7638579163771706,0.142,1.054854130826018,49.17901520778983,0.0,0,1.767
Ti2Zr2Se8,846b50801a93,G->S,0.7638579163771706,0.142,1.4837968045325902,49.17901520778983,0.0,0,0.552
GeTe,eadd37f03ca5,M->K,0.9154990873691008,0.087,0.0,119.99999998974371,0.0,0,0.952
MoCr3Te8,899032b4ad0c,G->Y,0.1895688272224866,0.087,1.5343923781805922,90.0,0.0,0,1.409
MoCr3Te8,899032b4ad0c,G->S,0.1895688272224866,0.087,1.1309707160343645,40.89133946635069,0.0,0,0.713
BiIS,40034665f9f1,G->M,0.9381116900544376,0.14,0.007500126553475,30.00000001923997,0.0,1,1.224
BiIS,40034665f9f1,G->K,0.9381116900544376,0.14,0.007500126553475,60.00000001923997,0.0,1,1.254
BiISe,433f707c632c,G->M,0.9338553284954838,0.114,0.0059162551830455,29.99999994434254,0.0,1,1.228
BiISe,433f707c632c,G->K,0.9338553284954838,0.114,0.0059162551830455,59.9999999840954,0.0,1,1.255
BiITe,a84d988e38ac,M->G,0.9417767775687268,0.11,0.0039598906357175,-149.9999999925854,0.0,1,0.467
O2Pb2,20f098bd3f31,G->X,0.8829775241595053,0.287,0.0243957819164434,-3.8629945371532906e-14,0.0,0,1.132
O2Pb2,20f098bd3f31,G->Y,0.8829775241595053,0.287,0.0,90.00000000000001,0.0,0,0.95
O2Pb2,20f098bd3f31,G->S,0.8829775241595053,0.287,0.0,29.21825838475216,0.0,0,0.875
O2Pb2,20f098bd3f31,S->X,0.8990904811171163,0.287,0.0,-90.0,0.5,1,1.405
O2Pb2,20f098bd3f31,S->Y,0.8990904811171163,0.287,0.0,179.99999999999997,0.5,1,1.726
O2Pb2,20f098bd3f31,Y->G,0.8990904811171163,0.287,0.0,-90.0,0.5,1,1.914
O2Pb2,20f098bd3f31,S->G,0.8990904811171163,0.287,0.0,-150.78174161524785,0.5,1,1.723
PbSe,a0dbdc6630fa,M->K,0.9241098190833938,0.217,0.0,120.0000000273454,0.0,0,0.855
PbSe,a0dbdc6630fa,M->G,0.7879851211433209,0.217,0.0,-150.0000000273454,0.0,1,1.603
 ,aa9a981d89aa,G->Y,0.8340700960545168,0.054,0.9747157556120232,59.95906716716718,0.0,0,4.457
Bi2P2Se6,aa9a981d89aa,X->G,0.8340700960545168,0.054,0.9747157556120232,150.0408990479409,-0.3330589218993955,0,2.074
Bi2P2Se6,aa9a981d89aa,G->X,0.8340700960545168,0.054,0.9747157556120232,-29.9591009520591,0.0,0,4.384
Bi2P2Se6,aa9a981d89aa,G->Y,0.8638507706444664,0.054,0.9747157556120232,59.95906716716718,0.0,1,1.971
Bi2P2Se6,aa9a981d89aa,Y->G,0.8638507706444664,0.054,0.9747157556120232,-120.04093283283284,0.5,1,1.66
Bi2P2Se6,aa9a981d89aa,X->G,0.8638507706444664,0.054,0.9747157556120232,150.0408990479409,-0.3330589218993955,1,1.729
Bi2P2Se6,aa9a981d89aa,G->X,0.8638507706444664,0.054,0.9747157556120232,-29.9591009520591,0.0,1,2.029
HfTi3Se8,c55716558616,S->Y,0.7409042099373613,0.137,1.606444877477826,180.0,0.5,0,1.191
Mo2W2Te8,c04fc052f2ca,X->G,0.2958079752151466,0.011,1.3681197368364582,180.0,0.0,0,1.645
Mo2W2Te8,c04fc052f2ca,G->S,0.2958079752151466,0.011,1.1196269237715253,49.110534665153686,0.0,0,1.315
Mo2W2Te8,c04fc052f2ca,G->S,0.1399480237647956,0.011,1.1196269237715253,49.110534665153686,0.0,1,1.35
BiISe,70cbc0e44d36,M->K,0.9060614974704904,0.0,0.0011172221661371,119.99999999074366,0.0,0,1.267
BiISe,70cbc0e44d36,G->M,0.9184150831842453,0.0,0.0011172221661371,30.00000000925636,0.0,1,2.045
BiISe,70cbc0e44d36,M->K,0.9184150831842453,0.0,0.0011172221661371,119.99999999074366,0.0,1,1.142
BiISe,70cbc0e44d36,G->K,0.9184150831842453,0.0,0.0011172221661371,60.00000000925636,0.0,1,2.089
Pb2Te6,3995fa1bee6e,X->G,0.8986972744902609,0.129,0.1094597910138744,-89.99999999999618,0.5,0,3.064
Pb2Te6,3995fa1bee6e,G->S,0.8986972744902609,0.129,0.0089261946647347,53.08160918832655,0.0,0,0.511
Pb2Te6,3995fa1bee6e,X->G,0.8492620158711233,0.129,0.1094597910138744,-89.99999999999618,0.5,1,1.451
Pb2Te6,3995fa1bee6e,X->S,0.8492620158711233,0.129,0.1094597910138744,1.8552812907871598e-10,0.5,1,0.796
Pb2Te6,3995fa1bee6e,S->G,0.8492620158711233,0.129,0.0089261946647347,-126.91839081167343,0.5,1,1.059
Cr2W2S8,5974b6403c31,X->G,0.1681267075821846,0.014,3.603055858591344,180.0,0.0,0,1.592
Cr2W2S8,5974b6403c31,Y->S,0.1681267075821846,0.014,2.878279172336443,0.0,0.5,0,1.151
HfZr3Se8,70e7ab872359,G->S,0.8422121530840236,0.15,1.1364134093862193,49.07480172352388,0.0,0,0.95
GeSe,211bcb7f05d6,M->K,0.9034063151276184,0.04,0.0,120.00000000156714,0.0,0,0.94
Hf2Zr2Se8,81af2831dbb2,G->S,0.8295197197316269,0.158,1.1447489134690554,49.06672007808193,0.0,0,0.698
MoW3Te8,5c3fe56a1a89,X->G,0.2850819868146655,0.018,1.3576580767550253,180.0,0.0,0,2.045
MoW3Te8,5c3fe56a1a89,G->S,0.2850819868146655,0.018,1.1074140911396304,49.11115211345227,0.0,0,1.298
Mo2W2S8,449640ec4d30,X->G,0.2072633880549644,0.0,3.1563783751913133,180.0,0.0,0,1.954
Mo2W2S8,449640ec4d30,S->Y,0.2146805678678273,0.0,2.548039602044105,180.0,0.5,1,1.167
CrW3S8,a9f87eba4b96,X->G,0.1919601306899144,0.009,3.359788364660403,180.0,0.0,0,1.909
CrMo3S8,644f7c1c85c7,X->G,0.1854065113491833,0.011,3.4008998090369,180.0,0.0,0,1.46
AsClTe,4fd8ad708fb0,M->G,0.8748022705579596,0.018,0.0035557579678532,-150.0000000286525,0.0,0,2.895
AsClTe,4fd8ad708fb0,M->K,0.8748022705579596,0.018,0.0035557579678532,120.00000002865248,0.0,0,2.257
CrW3Te8,eef072f845ce,X->G,0.2267102691969866,0.056,1.5251605549995362,180.0,0.0,0,1.592
CrW3Te8,eef072f845ce,Y->S,0.2267102691969866,0.056,1.121438443042446,0.0,0.5,0,1.042
CrW3Te8,eef072f845ce,G->S,0.2267102691969866,0.056,1.121438443042446,49.11210060848555,0.0,0,0.99
ISSb,5b94060698bc,M->K,0.8378311435722494,0.041,0.0015724099342213,119.99999995640523,0.0,0,2.844
ISSb,5b94060698bc,G->M,0.881194264676874,0.041,0.0015724099342213,29.999999962582827,0.0,1,1.507
ISSb,5b94060698bc,G->K,0.881194264676874,0.041,0.0015724099342213,60.0000000030888,0.0,1,1.547
