uid,bwdf_chi_total,bwdf_chi_mean_r,bwdf_chi_std_r,bwdf_chi_skew,bwdf_chi_kurt,bwdf_chi_max_val,bwdf_chi_max_r,bwdf_chi_first_peak_r,bwdf_z_total,bwdf_z_mean_r,bwdf_z_std_r,bwdf_z_skew,bwdf_z_kurt,bwdf_z_max_val,bwdf_z_max_r,bwdf_z_first_peak_r,asi_chi_mean,asi_chi_std,asi_chi_max,asi_chi_z_mean,asi_chi_z_abs_mean,asi_chi_z_max,asi_z_mean,asi_z_std,asi_z_max,asi_z_z_mean,asi_z_z_abs_mean,asi_z_z_max
2d41b3dd1772,1.9250894680365782,3.828482827552531,0.6511680801492091,0.22285658104461295,-1.8247165351192896,3.860297485947823,3.272727272727273,3.272727272727273,35904.43691514121,3.9835969054153986,0.623156873334289,-0.5593746349864926,-1.5105794437345101,80461.93617632748,4.454545454545455,3.090909090909091,0.6715963711079188,0.12599491997859055,0.7940553471164049,-0.18995618575243536,0.6715963711079188,0.7940553471164049,0.26238593952666783,0.1739138306713689,0.39564586302984756,0.001377969159897204,0.26238593952666783,0.39564586302984756
2ea941c8bc3c,2.165726829281068,3.5210068036282443,0.7644980371866371,-0.6771736733397891,-1.387770130387123,4.310637526100428,4.045454545454545,2.409090909090909,16946.81243912109,3.4508886143642963,0.6032392915844172,0.1426929040126691,-1.024653305647776,28341.611535933145,3.3181818181818183,2.409090909090909,0.5978091668533061,0.19342102441173764,0.8195014443054172,0.18065423100898706,0.5978091668533061,0.8195014443054172,0.3454939461467827,0.1253133726792836,0.5125002412523458,-0.13659999859527636,0.3454939461467827,0.5125002412523458
2f6f133abcc8,7.098771273754993,3.2073887129458525,0.763099615196388,0.007502361224719786,-1.8425045184686277,12.95114831307521,4.0,2.409090909090909,57905.11840048586,3.2649194928620053,0.6058369915953185,0.21493572265323238,-0.6819755193458628,116744.55178067276,3.181818181818182,2.409090909090909,0.36392618108527675,0.2348072745752083,0.5469161775231478,-1.0776184892702378e-05,0.34773273771006324,0.5377147205564583,0.3302522795320459,0.21383933138632213,0.49449034295673117,1.0734998099004578e-05,0.31967772960942625,0.4918505018274059
304bc6a92d82,2.8274766937700715,3.672164549479763,0.6380283517583331,0.1641037827545882,-1.8746908565287073,6.082757043678858,3.090909090909091,3.090909090909091,29867.47854344914,3.882640623300881,0.620478418020205,-0.5460845315931067,-1.5895620473057495,74477.61406687528,4.363636363636363,3.090909090909091,0.6633638021616876,0.12520946954771145,0.7969619710204316,-0.1985561716810422,0.6633638021616876,0.7969619710204316,0.2747035862800417,0.17364599510295817,0.4450463085440355,0.04622267065925201,0.2747035862800417,0.4450463085440355
323fb700d903,3.248590215668292,3.5958079500503835,0.7945972873270776,0.03800589831528172,-1.7177524966640068,5.270015554771786,2.7272727272727275,2.7272727272727275,115176.56058847354,3.5831787577674516,0.6520805260147355,0.10116594427211088,-1.1047096035942494,205184.60242347655,3.5454545454545454,2.7272727272727275,0.41860848473599593,0.24215605713575353,0.6376211197570677,1.0648520007964605e-05,0.3587708007583171,0.5782825958714315,0.21962000309588584,0.1432240423100851,0.32380150350264236,1.6480373331897076e-06,0.21254272238461444,0.3237184205388768
343d2125478e,2.3057851189962086,3.548468748388257,0.8232813528236045,0.9029329717232952,-0.8719467204186779,3.5735579043320813,3.2272727272727275,2.8181818181818183,19467.335209097615,3.802422502090457,0.5972755478155845,-0.039458443285859846,-0.5642993755324799,39933.9485456677,4.045454545454545,2.8181818181818183,0.3966378806617234,0.2887645365985136,0.711127072258611,0.08663572684467986,0.3966378806617234,0.711127072258611,0.21426750032826236,0.13312714873673276,0.33621372087169415,-0.029256598355061097,0.21426750032826236,0.33621372087169415
3995fa1bee6e,2.3055937021837667,3.7575851548301045,0.6367902773889929,0.4819019260275353,-1.4057701498146127,3.36749152450872,3.181818181818182,3.181818181818182,102966.72180505961,4.165533275742378,0.701756308506673,-0.6659081231866201,-1.1177278854297021,162865.4278435884,4.7272727272727275,2.8181818181818183,0.4320664978065691,0.23555878420797077,0.6718926273429243,-1.0826420071526413e-06,0.41266481835500307,0.6702019292977343,0.2632152843063033,0.13891820576736014,0.4079176910576115,-2.3049702356156554e-07,0.25690367902805017,0.39921786981545115
3bc08d486d65,0.34591470189907786,3.011576254014477,0.10000000000000003,2.739822257957769e-14,1.7763568394002505e-15,1.3707842431563626,3.0,3.0,20592.452601735422,3.91521041670813,0.6158758471090471,-0.782460978409164,-1.2671099876983618,56475.69406402281,4.318181818181818,3.0,0.5593439242172684,7.850462293418876e-17,0.5593439242172684,5.551115123125783e-17,0.5593439242172684,0.5593439242172684,0.19062467668216942,0.055967806037271486,0.2465924827194409,0.055967806037271486,0.19062467668216942,0.2465924827194409
3e1923c616ad,29.357561829911575,3.600807878933736,0.9113919074440979,-0.0002013820652355624,-1.9142579771879753,52.67712750037114,2.6818181818181817,2.6818181818181817,96049.61477927094,3.752482967797678,0.7714953154965686,-0.06413008990567327,-1.2267413362305888,124580.31558654293,3.6363636363636362,2.6818181818181817,0.3373572891256622,0.2244617315920166,0.5184042919763505,0.0006724414686246118,0.3352437542061035,0.5176224849536912,0.3080444385531356,0.18585630240230347,0.46562335295503204,0.0028895700529655705,0.295971787395767,0.46249778503350714
3fb52099b370,32.04800007516068,3.7339954132565003,1.0544946466123304,-0.2659390749241326,-1.4542215708612665,52.8030567131709,4.909090909090909,2.3181818181818183,29641.810454087044,3.655458140681771,0.9226369606912068,0.011315879329740916,-1.2999772125175109,33572.47040646921,4.909090909090909,2.3181818181818183,0.31983248245872586,0.19703650589174698,0.47906694335914307,8.017293306183948e-06,0.28546322513499695,0.4376742691047763,0.2860719961786191,0.18795630699633065,0.4331107103641369,-2.7194060595962335e-06,0.27509450630637283,0.4254387904156316
40034665f9f1,2.5051980596945884,3.5577113216562877,0.8465649878804383,0.7918774518272307,-1.0021173520288864,3.7776849013655958,3.3181818181818183,2.772727272727273,25574.887823327543,3.8268214157880927,0.5269248315311503,-0.2727274116659439,-0.23764048201677834,59694.28794984918,4.090909090909091,2.772727272727273,0.3829201695214743,0.2882004568669666,0.7111334190726947,0.09752736595406514,0.3829201695214743,0.7111334190726947,0.2739150347594272,0.13030897803501887,0.40093847955357137,-0.056561998084778596,0.2739150347594272,0.40093847955357137
